#: table_doi: 10.17182/hepdata.90831.v1/t437
#: name: table no 437
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transmax region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_437.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.04,0.011,-0.011,0.001,-0.001,0.007,-0.007
0.195,0.1,0.29,0.113,0.019,-0.019,0.009,-0.009,0.007,-0.007
0.385,0.29,0.48,0.246,0.025,-0.025,0.002,-0.002,0.01,-0.01
0.575,0.48,0.67,0.317,0.026,-0.026,0.006,-0.006,0.014,-0.014
0.765,0.67,0.86,0.388,0.026,-0.026,0.013,-0.013,0.016,-0.016
0.9550000000000001,0.86,1.05,0.417,0.026,-0.026,0.008,-0.008,0.022,-0.022
1.145,1.05,1.24,0.431,0.026,-0.026,0.004,-0.004,0.019,-0.019
1.335,1.24,1.43,0.36,0.024,-0.024,0.004,-0.004,0.018,-0.018
1.525,1.43,1.62,0.36,0.02,-0.02,0.01,-0.01,0.01,-0.01
1.715,1.62,1.81,0.368,0.019,-0.019,0.009,-0.009,0.013,-0.013
1.91,1.81,2.01,0.34,0.02,-0.02,0.01,-0.01,0.01,-0.01
2.105,2.01,2.2,0.259,0.017,-0.017,0.005,-0.005,0.01,-0.01
2.295,2.2,2.39,0.226,0.013,-0.013,0.011,-0.011,0.009,-0.009
2.4850000000000003,2.39,2.58,0.2,0.013,-0.013,0.005,-0.005,0.009,-0.009
2.675,2.58,2.77,0.178,0.012,-0.012,0.014,-0.014,0.009,-0.009
2.865,2.77,2.96,0.187,0.015,-0.015,0.005,-0.005,0.011,-0.011
3.0549999999999997,2.96,3.15,0.197,0.018,-0.018,0.006,-0.006,0.012,-0.012
3.245,3.15,3.34,0.1279,0.0089,-0.0089,0.0052,-0.0052,0.0115,-0.0115
3.4349999999999996,3.34,3.53,0.101,0.011,-0.011,0.003,-0.003,0.01,-0.01
3.625,3.53,3.72,0.0682,0.0068,-0.0068,0.0087,-0.0087,0.0076,-0.0076
3.8200000000000003,3.72,3.92,0.0462,0.0064,-0.0064,0.0039,-0.0039,0.0069,-0.0069
4.015000000000001,3.92,4.11,0.0361,0.0063,-0.0063,0.0042,-0.0042,0.0074,-0.0074
4.205,4.11,4.3,0.034,0.007,-0.007,0.003,-0.003,0.009,-0.009

