#: table_doi: 10.17182/hepdata.90831.v1/t156
#: name: table no 156
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmax region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_156.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.1271,0.0068,-0.0068,0.0061,-0.0061,0.0111,-0.0111
0.48,0.29,0.67,0.226,0.0083,-0.0083,0.0046,-0.0046,0.0081,-0.0081
0.8600000000000001,0.67,1.05,0.2674,0.0088,-0.0088,0.0039,-0.0039,0.0069,-0.0069
1.24,1.05,1.43,0.2723,0.0076,-0.0076,0.0033,-0.0033,0.005,-0.005
1.62,1.43,1.81,0.2532,0.0072,-0.0072,0.0024,-0.0024,0.0033,-0.0033
2.005,1.81,2.2,0.2135,0.0066,-0.0066,0.0018,-0.0018,0.0026,-0.0026
2.39,2.2,2.58,0.1852,0.0057,-0.0057,0.0015,-0.0015,0.0023,-0.0023
2.77,2.58,2.96,0.1436,0.0046,-0.0046,0.0013,-0.0013,0.0021,-0.0021
3.15,2.96,3.34,0.1192,0.0047,-0.0047,0.0014,-0.0014,0.0023,-0.0023
3.5300000000000002,3.34,3.72,0.1037,0.0045,-0.0045,0.0014,-0.0014,0.0026,-0.0026
4.2,3.72,4.68,0.0771,0.0026,-0.0026,0.0007,-0.0007,0.0011,-0.0011
5.0600000000000005,4.68,5.44,0.0473,0.0023,-0.0023,0.0007,-0.0007,0.0012,-0.0012

