#: table_doi: 10.17182/hepdata.90831.v1/t488
#: name: table no 488
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),toward region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_488.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0618,0.0031,-0.0031,0.0395,-0.0395,0.0082,-0.0082
0.6000000000000001,0.55,0.65,0.305,0.0063,-0.0063,0.0176,-0.0176,0.008,-0.008
0.7,0.65,0.75,0.5915,0.0096,-0.0096,0.0523,-0.0523,0.0075,-0.0075
0.8,0.75,0.85,1.011,0.012,-0.012,0.046,-0.046,0.008,-0.008
0.8999999999999999,0.85,0.95,1.384,0.013,-0.013,0.052,-0.052,0.01,-0.01
1.0,0.95,1.05,1.444,0.012,-0.012,0.057,-0.057,0.012,-0.012
1.1,1.05,1.15,1.246,0.012,-0.012,0.058,-0.058,0.01,-0.01
1.2,1.15,1.25,1.0041,0.0086,-0.0086,0.0394,-0.0394,0.0068,-0.0068
1.3,1.25,1.35,0.7123,0.0076,-0.0076,0.0256,-0.0256,0.0053,-0.0053
1.4,1.35,1.45,0.4984,0.0062,-0.0062,0.0184,-0.0184,0.0037,-0.0037
1.5,1.45,1.55,0.3637,0.0053,-0.0053,0.0112,-0.0112,0.0024,-0.0024
1.6,1.55,1.65,0.2712,0.0043,-0.0043,0.0082,-0.0082,0.0033,-0.0033
1.7,1.65,1.75,0.2037,0.0037,-0.0037,0.0085,-0.0085,0.0034,-0.0034
1.8,1.75,1.85,0.1425,0.0029,-0.0029,0.0058,-0.0058,0.0032,-0.0032
1.9,1.85,1.95,0.1209,0.0027,-0.0027,0.0056,-0.0056,0.0027,-0.0027
2.0,1.95,2.05,0.0927,0.0023,-0.0023,0.0038,-0.0038,0.0023,-0.0023
2.0999999999999996,2.05,2.15,0.078,0.002,-0.002,0.002,-0.002,0.003,-0.003
2.2,2.15,2.25,0.0603,0.0019,-0.0019,0.0021,-0.0021,0.0023,-0.0023
2.3,2.25,2.35,0.0508,0.0019,-0.0019,0.0017,-0.0017,0.0026,-0.0026
2.4000000000000004,2.35,2.45,0.0462,0.0015,-0.0015,0.0014,-0.0014,0.0026,-0.0026
2.5,2.45,2.55,0.0352,0.0014,-0.0014,0.0021,-0.0021,0.0023,-0.0023
2.5999999999999996,2.55,2.65,0.0266,0.0013,-0.0013,0.0032,-0.0032,0.0019,-0.0019
2.7,2.65,2.75,0.03,0.0015,-0.0015,0.0021,-0.0021,0.0016,-0.0016
2.8,2.75,2.85,0.0249,0.0015,-0.0015,0.0006,-0.0006,0.0019,-0.0019
2.9000000000000004,2.85,2.95,0.019,0.0011,-0.0011,0.0021,-0.0021,0.0021,-0.0021

