#: table_doi: 10.17182/hepdata.90831.v1/t462
#: name: table no 462
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_462.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,1.5711,0.0047,-0.0047,0.1428,-0.1428,0.0177,-0.0177
0.48,0.29,0.67,0.6332,0.0037,-0.0037,0.0449,-0.0449,0.0108,-0.0108
0.8600000000000001,0.67,1.05,0.3535,0.0021,-0.0021,0.0364,-0.0364,0.0049,-0.0049
1.24,1.05,1.43,0.1852,0.0016,-0.0016,0.0149,-0.0149,0.0046,-0.0046
1.62,1.43,1.81,0.1032,0.0011,-0.0011,0.0061,-0.0061,0.0034,-0.0034
2.005,1.81,2.2,0.06125,0.00079,-0.00079,0.00286,-0.00286,0.00235,-0.00235
2.39,2.2,2.58,0.03713,0.00057,-0.00057,0.00138,-0.00138,0.00157,-0.00157
2.77,2.58,2.96,0.02178,0.00044,-0.00044,0.00033,-0.00033,0.001,-0.001
3.15,2.96,3.34,0.01324,0.00036,-0.00036,0.00067,-0.00067,0.00062,-0.00062
3.5300000000000002,3.34,3.72,0.00857,0.00027,-0.00027,0.00013,-0.00013,0.00052,-0.00052
4.2,3.72,4.68,0.00466,0.00017,-0.00017,0.00016,-0.00016,0.00017,-0.00017
5.0600000000000005,4.68,5.44,0.00216,0.00012,-0.00012,0,0,0.00018,-0.00018

