#: table_doi: 10.17182/hepdata.90831.v1/t144
#: name: table no 144
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_144.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.8453,0.0037,-0.0037,0.0103,-0.0103,0.015,-0.015
0.48,0.29,0.67,0.593,0.003,-0.003,0.007,-0.007,0.009,-0.009
0.8600000000000001,0.67,1.05,0.4654,0.0024,-0.0024,0.0054,-0.0054,0.0059,-0.0059
1.24,1.05,1.43,0.3193,0.0019,-0.0019,0.0037,-0.0037,0.0043,-0.0043
1.62,1.43,1.81,0.2092,0.0014,-0.0014,0.0025,-0.0025,0.004,-0.004
2.005,1.81,2.2,0.1345,0.0012,-0.0012,0.0017,-0.0017,0.0039,-0.0039
2.39,2.2,2.58,0.08731,0.00092,-0.00092,0.00106,-0.00106,0.00337,-0.00337
2.77,2.58,2.96,0.05519,0.00076,-0.00076,0.00068,-0.00068,0.00264,-0.00264
3.15,2.96,3.34,0.03556,0.00063,-0.00063,0.00057,-0.00057,0.00202,-0.00202
3.5300000000000002,3.34,3.72,0.02329,0.00049,-0.00049,0.00058,-0.00058,0.00153,-0.00153
4.2,3.72,4.68,0.01211,0.00029,-0.00029,0.0003,-0.0003,0.00049,-0.00049
5.0600000000000005,4.68,5.44,0.00575,0.00021,-0.00021,0.00029,-0.00029,0.00042,-0.00042

