#: table_doi: 10.17182/hepdata.90831.v1/t260
#: name: table no 260
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transverse region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_260.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0,0,0,0.000811,-0.000811,0.002407,-0.002407
0.095,0.05,0.14,0.0061,0.0034,-0.0034,0.0024,-0.0024,0.0055,-0.0055
0.19,0.14,0.24,0.024,0.011,-0.011,0.003,-0.003,0.008,-0.008
0.28500000000000003,0.24,0.33,0.0149,0.0076,-0.0076,0.0067,-0.0067,0.0134,-0.0134
0.38,0.33,0.43,0.061,0.022,-0.022,0.005,-0.005,0.015,-0.015
0.48,0.43,0.53,0.08,0.024,-0.024,0.064,-0.064,0.018,-0.018
0.575,0.53,0.62,0.079,0.021,-0.021,0.03,-0.03,0.02,-0.02
0.6699999999999999,0.62,0.72,0.168,0.034,-0.034,0.025,-0.025,0.019,-0.019
0.765,0.72,0.81,0.213,0.039,-0.039,0.01,-0.01,0.02,-0.02
0.8600000000000001,0.81,0.91,0.171,0.023,-0.023,0.027,-0.027,0.024,-0.024
0.9550000000000001,0.91,1.0,0.232,0.032,-0.032,0.03,-0.03,0.028,-0.028
1.05,1.0,1.1,0.293,0.034,-0.034,0.045,-0.045,0.03,-0.03
1.145,1.1,1.19,0.271,0.037,-0.037,0.031,-0.031,0.035,-0.035
1.24,1.19,1.29,0.409,0.036,-0.036,0.084,-0.084,0.041,-0.041
1.335,1.29,1.38,0.323,0.039,-0.039,0.095,-0.095,0.048,-0.048
1.43,1.38,1.48,0.488,0.049,-0.049,0.034,-0.034,0.062,-0.062
1.53,1.48,1.58,0.56,0.04,-0.04,0.05,-0.05,0.07,-0.07
1.625,1.58,1.67,0.499,0.042,-0.042,0.03,-0.03,0.068,-0.068
1.72,1.67,1.77,0.525,0.043,-0.043,0.091,-0.091,0.059,-0.059
1.815,1.77,1.86,0.437,0.046,-0.046,0.08,-0.08,0.054,-0.054
1.9100000000000001,1.86,1.96,0.494,0.045,-0.045,0.11,-0.11,0.055,-0.055
2.005,1.96,2.05,0.351,0.029,-0.029,0.011,-0.011,0.053,-0.053
2.0999999999999996,2.05,2.15,0.397,0.032,-0.032,0.019,-0.019,0.049,-0.049
2.1950000000000003,2.15,2.24,0.368,0.034,-0.034,0.003,-0.003,0.045,-0.045
2.29,2.24,2.34,0.39,0.04,-0.04,0.02,-0.02,0.04,-0.04
2.3899999999999997,2.34,2.44,0.297,0.036,-0.036,0.137,-0.137,0.041,-0.041
2.485,2.44,2.53,0.315,0.038,-0.038,0.117,-0.117,0.034,-0.034
2.58,2.53,2.63,0.375,0.039,-0.039,0.07,-0.07,0.037,-0.037
2.7249999999999996,2.63,2.82,0.239,0.022,-0.022,0.01,-0.01,0.027,-0.027
2.915,2.82,3.01,0.232,0.026,-0.026,0.022,-0.022,0.032,-0.032
3.105,3.01,3.2,0.17,0.02,-0.02,0.01,-0.01,0.03,-0.03
3.295,3.2,3.39,0.152,0.015,-0.015,0.031,-0.031,0.026,-0.026
3.4850000000000003,3.39,3.58,0.128,0.021,-0.021,0.005,-0.005,0.028,-0.028
3.725,3.58,3.87,0.113,0.017,-0.017,0.006,-0.006,0.018,-0.018
4.105,3.87,4.34,0.0433,0.0087,-0.0087,0.0081,-0.0081,0.0098,-0.0098

