#: table_doi: 10.17182/hepdata.90831.v1/t271
#: name: table no 271
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmax region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_271.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.00203,0.00038,-0.00038,0.00044,-0.00044,0.00209,-0.00209
0.195,0.1,0.29,0.0649,0.0022,-0.0022,0.0051,-0.0051,0.0043,-0.0043
0.385,0.29,0.48,0.1826,0.0027,-0.0027,0.0058,-0.0058,0.009,-0.009
0.575,0.48,0.67,0.3336,0.0037,-0.0037,0.0082,-0.0082,0.0119,-0.0119
0.765,0.67,0.86,0.4423,0.0035,-0.0035,0.0089,-0.0089,0.0135,-0.0135
0.9550000000000001,0.86,1.05,0.5128,0.0034,-0.0034,0.0158,-0.0158,0.0117,-0.0117
1.145,1.05,1.24,0.525,0.0033,-0.0033,0.0098,-0.0098,0.0093,-0.0093
1.335,1.24,1.43,0.521,0.003,-0.003,0.008,-0.008,0.005,-0.005
1.525,1.43,1.62,0.4797,0.0028,-0.0028,0.002,-0.002,0.0035,-0.0035
1.715,1.62,1.81,0.4243,0.0028,-0.0028,0.0102,-0.0102,0.0039,-0.0039
1.91,1.81,2.01,0.3595,0.0024,-0.0024,0.0062,-0.0062,0.0056,-0.0056
2.105,2.01,2.2,0.3009,0.0021,-0.0021,0.0122,-0.0122,0.0069,-0.0069
2.295,2.2,2.39,0.245,0.002,-0.002,0.011,-0.011,0.006,-0.006
2.4850000000000003,2.39,2.58,0.1995,0.0017,-0.0017,0.0129,-0.0129,0.0062,-0.0062
2.675,2.58,2.77,0.1557,0.0015,-0.0015,0.0084,-0.0084,0.006,-0.006
2.865,2.77,2.96,0.1208,0.0013,-0.0013,0.006,-0.006,0.0055,-0.0055
3.0549999999999997,2.96,3.15,0.0934,0.0012,-0.0012,0.005,-0.005,0.0049,-0.0049
3.245,3.15,3.34,0.072,0.001,-0.001,0.002,-0.002,0.004,-0.004
3.4349999999999996,3.34,3.53,0.05344,0.00086,-0.00086,0.00018,-0.00018,0.0039,-0.0039
3.625,3.53,3.72,0.04057,0.00081,-0.00081,0.00016,-0.00016,0.00333,-0.00333
3.8200000000000003,3.72,3.92,0.02898,0.00064,-0.00064,0.0004,-0.0004,0.00248,-0.00248
4.015000000000001,3.92,4.11,0.02,0.0005,-0.0005,0.0019,-0.0019,0.002,-0.002
4.205,4.11,4.3,0.01774,0.00051,-0.00051,0.00104,-0.00104,0.00154,-0.00154

