#: table_doi: 10.17182/hepdata.90831.v1/t322
#: name: table no 322
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_322.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0027,0.0022,-0.0022,0.0022,-0.0022,0.0025,-0.0025
0.23500000000000001,0.14,0.33,0.0267,0.0053,-0.0053,0.0016,-0.0016,0.003,-0.003
0.43000000000000005,0.33,0.53,0.0472,0.0063,-0.0063,0.0019,-0.0019,0.0037,-0.0037
0.625,0.53,0.72,0.0441,0.0044,-0.0044,0.0019,-0.0019,0.0039,-0.0039
0.815,0.72,0.91,0.0765,0.0069,-0.0069,0.0033,-0.0033,0.0036,-0.0036
1.0050000000000001,0.91,1.1,0.088,0.008,-0.008,0.016,-0.016,0.005,-0.005
1.195,1.1,1.29,0.0933,0.0068,-0.0068,0.0052,-0.0052,0.0048,-0.0048
1.385,1.29,1.48,0.1069,0.0076,-0.0076,0.0059,-0.0059,0.0046,-0.0046
1.575,1.48,1.67,0.1,0.006,-0.006,0.006,-0.006,0.005,-0.005
1.7650000000000001,1.67,1.86,0.1172,0.0077,-0.0077,0.0078,-0.0078,0.0058,-0.0058
2.1,1.86,2.34,0.1435,0.0069,-0.0069,0.0078,-0.0078,0.0033,-0.0033
2.5300000000000002,2.34,2.72,0.164,0.0074,-0.0074,0.0065,-0.0065,0.0047,-0.0047
2.91,2.72,3.1,0.151,0.007,-0.007,0.01,-0.01,0.005,-0.005
3.295,3.1,3.49,0.1647,0.0069,-0.0069,0.0086,-0.0086,0.0047,-0.0047
3.68,3.49,3.87,0.178,0.0068,-0.0068,0.01,-0.01,0.0051,-0.0051
4.105,3.87,4.34,0.1795,0.0063,-0.0063,0.0105,-0.0105,0.0037,-0.0037
4.58,4.34,4.82,0.1873,0.0067,-0.0067,0.0117,-0.0117,0.0037,-0.0037
5.0600000000000005,4.82,5.3,0.1734,0.0059,-0.0059,0.0109,-0.0109,0.0041,-0.0041
5.54,5.3,5.78,0.148,0.0058,-0.0058,0.013,-0.013,0.0056,-0.0056

