#: table_doi: 10.17182/hepdata.90831.v1/t268
#: name: table no 268
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_268.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.102,0.021,-0.021,0.005,-0.005,0.009,-0.009
0.195,0.1,0.29,0.121,0.026,-0.026,0.028,-0.028,0.013,-0.013
0.385,0.29,0.48,0.208,0.032,-0.032,0.016,-0.016,0.013,-0.013
0.575,0.48,0.67,0.346,0.032,-0.032,0.026,-0.026,0.019,-0.019
0.765,0.67,0.86,0.463,0.039,-0.039,0.049,-0.049,0.022,-0.022
0.9550000000000001,0.86,1.05,0.436,0.032,-0.032,0.039,-0.039,0.026,-0.026
1.145,1.05,1.24,0.443,0.033,-0.033,0.1,-0.1,0.024,-0.024
1.335,1.24,1.43,0.401,0.028,-0.028,0.057,-0.057,0.021,-0.021
1.525,1.43,1.62,0.325,0.027,-0.027,0.026,-0.026,0.024,-0.024
1.715,1.62,1.81,0.38,0.03,-0.03,0.01,-0.01,0.03,-0.03
1.91,1.81,2.01,0.369,0.031,-0.031,0.082,-0.082,0.03,-0.03
2.105,2.01,2.2,0.342,0.028,-0.028,0.022,-0.022,0.027,-0.027
2.295,2.2,2.39,0.249,0.023,-0.023,0.035,-0.035,0.027,-0.027
2.4850000000000003,2.39,2.58,0.171,0.018,-0.018,0.007,-0.007,0.02,-0.02
2.675,2.58,2.77,0.141,0.016,-0.016,0.042,-0.042,0.018,-0.018
2.865,2.77,2.96,0.095,0.015,-0.015,0.017,-0.017,0.014,-0.014
3.0549999999999997,2.96,3.15,0.122,0.016,-0.016,0.025,-0.025,0.015,-0.015
3.245,3.15,3.34,0.155,0.021,-0.021,0.022,-0.022,0.024,-0.024
3.4349999999999996,3.34,3.53,0.112,0.019,-0.019,0.029,-0.029,0.026,-0.026
3.625,3.53,3.72,0.092,0.016,-0.016,0.005,-0.005,0.029,-0.029
3.8200000000000003,3.72,3.92,0.064,0.018,-0.018,0.01,-0.01,0.021,-0.021
4.015000000000001,3.92,4.11,0.038,0.011,-0.011,0.004,-0.004,0.022,-0.022
4.205,4.11,4.3,0.028,0.011,-0.011,0.006,-0.006,0.019,-0.019

