#: table_doi: 10.17182/hepdata.90831.v1/t126
#: name: table no 126
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_126.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.7024,0.0036,-0.0036,0.005,-0.005,0.0216,-0.0216
0.23500000000000001,0.14,0.33,0.5945,0.0032,-0.0032,0.0033,-0.0033,0.0141,-0.0141
0.43000000000000005,0.33,0.53,0.6249,0.0026,-0.0026,0.0024,-0.0024,0.0101,-0.0101
0.625,0.53,0.72,0.5766,0.0025,-0.0025,0.0019,-0.0019,0.0063,-0.0063
0.815,0.72,0.91,0.5089,0.0022,-0.0022,0.0015,-0.0015,0.0035,-0.0035
1.0050000000000001,0.91,1.1,0.4428,0.0019,-0.0019,0.0015,-0.0015,0.0025,-0.0025
1.195,1.1,1.29,0.3827,0.0017,-0.0017,0.0015,-0.0015,0.0028,-0.0028
1.385,1.29,1.48,0.318,0.0015,-0.0015,0.0017,-0.0017,0.0036,-0.0036
1.575,1.48,1.67,0.2583,0.0013,-0.0013,0.0018,-0.0018,0.005,-0.005
1.7650000000000001,1.67,1.86,0.2106,0.0012,-0.0012,0.0016,-0.0016,0.0064,-0.0064
2.1,1.86,2.34,0.1446,0.00087,-0.00087,0.00062,-0.00062,0.00307,-0.00307
2.5300000000000002,2.34,2.72,0.08548,0.00066,-0.00066,0.00043,-0.00043,0.00366,-0.00366
2.91,2.72,3.1,0.05172,0.00053,-0.00053,0.00027,-0.00027,0.00303,-0.00303
3.295,3.1,3.49,0.03089,0.00041,-0.00041,0.00019,-0.00019,0.00215,-0.00215
3.68,3.49,3.87,0.0179,0.0003,-0.0003,0.0002,-0.0002,0.0015,-0.0015
4.105,3.87,4.34,0.01026,0.00024,-0.00024,0.00016,-0.00016,0.00079,-0.00079
4.58,4.34,4.82,0.00549,0.00017,-0.00017,0.00013,-0.00013,0.00049,-0.00049
5.0600000000000005,4.82,5.3,0.00313,0.00014,-0.00014,9e-05,-9e-05,0.00032,-0.00032
5.54,5.3,5.78,0.0017,0.0001,-0.0001,0.0001,-0.0001,0.0002,-0.0002

