#: table_doi: 10.17182/hepdata.90831.v1/t39
#: name: table no 39
#: description: transmax region : hight thrust ($0.75\leq T$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_39.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.9273,0.0017,-0.0017,0.0172,-0.0172,0.0454,-0.0454
15.0,10.0,20.0,1.032,0.002,-0.002,0.018,-0.018,0.05,-0.05
30.0,20.0,40.0,1.1616,0.0022,-0.0022,0.0193,-0.0193,0.0441,-0.0441
50.0,40.0,60.0,1.3064,0.0035,-0.0035,0.0217,-0.0217,0.0415,-0.0415
70.0,60.0,80.0,1.406,0.0057,-0.0057,0.0228,-0.0228,0.0414,-0.0414
100.0,80.0,120.0,1.5159,0.0064,-0.0064,0.0248,-0.0248,0.0329,-0.0329
160.0,120.0,200.0,1.6436,0.0099,-0.0099,0.0263,-0.0263,0.0215,-0.0215
350.0,200.0,500.0,1.81,0.02,-0.02,0.02,-0.02,0.02,-0.02

