#: table_doi: 10.17182/hepdata.90831.v1/t159
#: name: table no 159
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_159.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.115,0.002,-0.002,0.005,-0.005,0.009,-0.009
0.23500000000000001,0.14,0.33,0.177,0.002,-0.002,0.003,-0.003,0.007,-0.007
0.43000000000000005,0.33,0.53,0.2707,0.0022,-0.0022,0.0033,-0.0033,0.0086,-0.0086
0.625,0.53,0.72,0.3539,0.0025,-0.0025,0.0034,-0.0034,0.0089,-0.0089
0.815,0.72,0.91,0.4119,0.0025,-0.0025,0.0036,-0.0036,0.0083,-0.0083
1.0050000000000001,0.91,1.1,0.4357,0.0025,-0.0025,0.0037,-0.0037,0.007,-0.007
1.195,1.1,1.29,0.4378,0.0024,-0.0024,0.0038,-0.0038,0.0056,-0.0056
1.385,1.29,1.48,0.4257,0.0022,-0.0022,0.0037,-0.0037,0.0041,-0.0041
1.575,1.48,1.67,0.398,0.0022,-0.0022,0.0036,-0.0036,0.0038,-0.0038
1.7650000000000001,1.67,1.86,0.359,0.0021,-0.0021,0.0034,-0.0034,0.0049,-0.0049
2.1,1.86,2.34,0.2815,0.0014,-0.0014,0.0024,-0.0024,0.0029,-0.0029
2.5300000000000002,2.34,2.72,0.1952,0.0012,-0.0012,0.0017,-0.0017,0.0042,-0.0042
2.91,2.72,3.1,0.1348,0.0011,-0.0011,0.0012,-0.0012,0.0041,-0.0041
3.295,3.1,3.49,0.08902,0.00089,-0.00089,0.00075,-0.00075,0.00359,-0.00359
3.68,3.49,3.87,0.05935,0.00071,-0.00071,0.0005,-0.0005,0.00301,-0.00301
4.105,3.87,4.34,0.03685,0.00054,-0.00054,0.00033,-0.00033,0.0019,-0.0019
4.58,4.34,4.82,0.02069,0.00039,-0.00039,0.00027,-0.00027,0.00135,-0.00135
5.0600000000000005,4.82,5.3,0.01169,0.00032,-0.00032,0.00026,-0.00026,0.00092,-0.00092
5.54,5.3,5.78,0.00624,0.00022,-0.00022,0.00026,-0.00026,0.00061,-0.00061

