#: table_doi: 10.17182/hepdata.90831.v1/t307
#: name: table no 307
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmin region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_307.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.186,0.014,-0.014,0.045,-0.045,0.011,-0.011
0.48,0.29,0.67,0.294,0.015,-0.015,0.035,-0.035,0.008,-0.008
0.8600000000000001,0.67,1.05,0.333,0.014,-0.014,0.029,-0.029,0.01,-0.01
1.24,1.05,1.43,0.369,0.014,-0.014,0.023,-0.023,0.009,-0.009
1.62,1.43,1.81,0.35,0.012,-0.012,0.026,-0.026,0.008,-0.008
2.005,1.81,2.2,0.277,0.011,-0.011,0.012,-0.012,0.006,-0.006
2.39,2.2,2.58,0.2376,0.0093,-0.0093,0.0076,-0.0076,0.006,-0.006
2.77,2.58,2.96,0.182,0.0092,-0.0092,0.0143,-0.0143,0.0064,-0.0064
3.15,2.96,3.34,0.1134,0.0072,-0.0072,0.0144,-0.0144,0.0069,-0.0069
3.5300000000000002,3.34,3.72,0.0915,0.0062,-0.0062,0.0052,-0.0052,0.0066,-0.0066
4.2,3.72,4.68,0.049,0.003,-0.003,0.002,-0.002,0.002,-0.002
5.0600000000000005,4.68,5.44,0.0238,0.0029,-0.0029,0.0033,-0.0033,0.002,-0.002

