#: table_doi: 10.17182/hepdata.90831.v1/t38
#: name: table no 38
#: description: Figure 11b,  mean nTracks transmin high thrust, transmin region : hight thrust ($0.75\leq T$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_38.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.5631,0.0014,-0.0014,0.0136,-0.0136,0.034,-0.034
15.0,10.0,20.0,0.6287,0.0017,-0.0017,0.0137,-0.0137,0.0375,-0.0375
30.0,20.0,40.0,0.7034,0.0018,-0.0018,0.0149,-0.0149,0.0364,-0.0364
50.0,40.0,60.0,0.7832,0.0031,-0.0031,0.0164,-0.0164,0.0352,-0.0352
70.0,60.0,80.0,0.8382,0.0046,-0.0046,0.0178,-0.0178,0.0352,-0.0352
100.0,80.0,120.0,0.9048,0.0054,-0.0054,0.0225,-0.0225,0.0284,-0.0284
160.0,120.0,200.0,0.9421,0.0078,-0.0078,0.0209,-0.0209,0.0162,-0.0162
350.0,200.0,500.0,0.974,0.014,-0.014,0.022,-0.022,0.004,-0.004

