#: table_doi: 10.17182/hepdata.90831.v1/t409
#: name: table no 409
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),toward region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_409.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.2869,0.0098,-0.0098,0.0454,-0.0454,0.015,-0.015
0.095,0.05,0.14,0.42,0.012,-0.012,0.036,-0.036,0.016,-0.016
0.19,0.14,0.24,0.485,0.011,-0.011,0.025,-0.025,0.016,-0.016
0.28500000000000003,0.24,0.33,0.569,0.011,-0.011,0.021,-0.021,0.013,-0.013
0.38,0.33,0.43,0.62,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.48,0.43,0.53,0.6263,0.0096,-0.0096,0.0107,-0.0107,0.0111,-0.0111
0.575,0.53,0.62,0.6422,0.0093,-0.0093,0.0059,-0.0059,0.0105,-0.0105
0.6699999999999999,0.62,0.72,0.6182,0.0083,-0.0083,0.0165,-0.0165,0.0082,-0.0082
0.765,0.72,0.81,0.6243,0.0086,-0.0086,0.0056,-0.0056,0.0062,-0.0062
0.8600000000000001,0.81,0.91,0.5975,0.0087,-0.0087,0.0055,-0.0055,0.005,-0.005
0.9550000000000001,0.91,1.0,0.5475,0.0076,-0.0076,0.0097,-0.0097,0.0043,-0.0043
1.05,1.0,1.1,0.5194,0.0073,-0.0073,0.0062,-0.0062,0.0037,-0.0037
1.145,1.1,1.19,0.4653,0.0064,-0.0064,0.0058,-0.0058,0.0041,-0.0041
1.24,1.19,1.29,0.4171,0.0062,-0.0062,0.0066,-0.0066,0.0044,-0.0044
1.335,1.29,1.38,0.3718,0.0058,-0.0058,0.0091,-0.0091,0.0049,-0.0049
1.43,1.38,1.48,0.351,0.0058,-0.0058,0.0089,-0.0089,0.005,-0.005
1.53,1.48,1.58,0.3004,0.0052,-0.0052,0.0157,-0.0157,0.0061,-0.0061
1.625,1.58,1.67,0.278,0.005,-0.005,0.01,-0.01,0.006,-0.006
1.72,1.67,1.77,0.2517,0.0051,-0.0051,0.013,-0.013,0.0062,-0.0062
1.815,1.77,1.86,0.2212,0.0047,-0.0047,0.0073,-0.0073,0.0067,-0.0067
1.9100000000000001,1.86,1.96,0.1902,0.0041,-0.0041,0.0082,-0.0082,0.0075,-0.0075
2.005,1.96,2.05,0.1651,0.0039,-0.0039,0.0025,-0.0025,0.0084,-0.0084
2.0999999999999996,2.05,2.15,0.1384,0.0031,-0.0031,0.0017,-0.0017,0.0069,-0.0069
2.1950000000000003,2.15,2.24,0.1193,0.0031,-0.0031,0.0052,-0.0052,0.0055,-0.0055
2.29,2.24,2.34,0.1009,0.0031,-0.0031,0.0018,-0.0018,0.0043,-0.0043
2.3899999999999997,2.34,2.44,0.0862,0.0028,-0.0028,0.0026,-0.0026,0.0039,-0.0039
2.485,2.44,2.53,0.0762,0.0027,-0.0027,0.0022,-0.0022,0.0042,-0.0042
2.58,2.53,2.63,0.0609,0.0021,-0.0021,0.005,-0.005,0.0055,-0.0055
2.7249999999999996,2.63,2.82,0.048,0.0018,-0.0018,0.0036,-0.0036,0.0029,-0.0029
2.915,2.82,3.01,0.0327,0.0014,-0.0014,0.0019,-0.0019,0.0028,-0.0028
3.105,3.01,3.2,0.0246,0.0014,-0.0014,0.0019,-0.0019,0.0016,-0.0016
3.295,3.2,3.39,0.01787,0.00095,-0.00095,0.00152,-0.00152,0.00119,-0.00119
3.4850000000000003,3.39,3.58,0.01102,0.00073,-0.00073,0.00133,-0.00133,0.0011,-0.0011
3.725,3.58,3.87,0.00979,0.00086,-0.00086,0.0008,-0.0008,0.0008,-0.0008
4.105,3.87,4.34,0.00287,0.00043,-0.00043,0.0008,-0.0008,0.00041,-0.00041

