#: table_doi: 10.17182/hepdata.90831.v1/t8
#: name: table no 8
#: description: Figure 09a,  mean nTracks transmin, transmin region: Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_8.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.7654,0.0011,-0.0011,0.0217,-0.0217,0.0009,-0.0009
15.0,10.0,20.0,0.8396,0.0015,-0.0015,0.0212,-0.0212,0.0061,-0.0061
30.0,20.0,40.0,0.8995,0.0015,-0.0015,0.0217,-0.0217,0.0055,-0.0055
50.0,40.0,60.0,0.952,0.0029,-0.0029,0.0235,-0.0235,0.0084,-0.0084
70.0,60.0,80.0,0.9935,0.0077,-0.0077,0.0237,-0.0237,0.013,-0.013
100.0,80.0,120.0,1.0229,0.0049,-0.0049,0.0279,-0.0279,0.0077,-0.0077
160.0,120.0,200.0,1.0395,0.0072,-0.0072,0.035,-0.035,0.0042,-0.0042
350.0,200.0,500.0,1.049,0.015,-0.015,0.045,-0.045,0.001,-0.001

