#: table_doi: 10.17182/hepdata.90831.v1/t317
#: name: table no 317
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmax region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_317.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0,0,0,0.003044,-0.003044,0.011315,-0.011315
0.48,0.29,0.67,0.033,0.019,-0.019,0.006,-0.006,0.01,-0.01
0.8600000000000001,0.67,1.05,0.031,0.025,-0.025,0.008,-0.008,0.013,-0.013
1.24,1.05,1.43,0.1,0.03,-0.03,0.02,-0.02,0.01,-0.01
1.62,1.43,1.81,0.062,0.019,-0.019,0.024,-0.024,0.012,-0.012
2.005,1.81,2.2,0.035,0.018,-0.018,0.032,-0.032,0.012,-0.012
2.39,2.2,2.58,0.066,0.024,-0.024,0.092,-0.092,0.02,-0.02
2.77,2.58,2.96,0.122,0.032,-0.032,0.009,-0.009,0.029,-0.029
3.15,2.96,3.34,0.136,0.036,-0.036,0.048,-0.048,0.03,-0.03
3.5300000000000002,3.34,3.72,0.027,0.017,-0.017,0.06,-0.06,0.031,-0.031
4.2,3.72,4.68,0.07,0.02,-0.02,0.01,-0.01,0.02,-0.02
5.0600000000000005,4.68,5.44,0.1,0.02,-0.02,0,0,0.04,-0.04

