#: table_doi: 10.17182/hepdata.90831.v1/t417
#: name: table no 417
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),transverse region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_417.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.1677,0.0079,-0.0079,0.0288,-0.0288,0.0124,-0.0124
0.095,0.05,0.14,0.328,0.011,-0.011,0.035,-0.035,0.014,-0.014
0.19,0.14,0.24,0.437,0.011,-0.011,0.028,-0.028,0.015,-0.015
0.28500000000000003,0.24,0.33,0.5358,0.0099,-0.0099,0.0377,-0.0377,0.0151,-0.0151
0.38,0.33,0.43,0.5908,0.0098,-0.0098,0.0313,-0.0313,0.014,-0.014
0.48,0.43,0.53,0.65,0.01,-0.01,0.03,-0.03,0.01,-0.01
0.575,0.53,0.62,0.6754,0.0094,-0.0094,0.0159,-0.0159,0.0129,-0.0129
0.6699999999999999,0.62,0.72,0.6511,0.0085,-0.0085,0.0157,-0.0157,0.0103,-0.0103
0.765,0.72,0.81,0.6593,0.0091,-0.0091,0.0123,-0.0123,0.0068,-0.0068
0.8600000000000001,0.81,0.91,0.6245,0.0083,-0.0083,0.0068,-0.0068,0.0048,-0.0048
0.9550000000000001,0.91,1.0,0.5968,0.0079,-0.0079,0.0073,-0.0073,0.0038,-0.0038
1.05,1.0,1.1,0.547,0.0071,-0.0071,0.0065,-0.0065,0.005,-0.005
1.145,1.1,1.19,0.5056,0.0069,-0.0069,0.0199,-0.0199,0.0053,-0.0053
1.24,1.19,1.29,0.4499,0.0063,-0.0063,0.0131,-0.0131,0.0062,-0.0062
1.335,1.29,1.38,0.3907,0.0058,-0.0058,0.0257,-0.0257,0.0063,-0.0063
1.43,1.38,1.48,0.3381,0.0054,-0.0054,0.0252,-0.0252,0.007,-0.007
1.53,1.48,1.58,0.3165,0.0054,-0.0054,0.0227,-0.0227,0.0071,-0.0071
1.625,1.58,1.67,0.2626,0.0044,-0.0044,0.0199,-0.0199,0.0079,-0.0079
1.72,1.67,1.77,0.2373,0.0047,-0.0047,0.0108,-0.0108,0.0079,-0.0079
1.815,1.77,1.86,0.2131,0.0043,-0.0043,0.0142,-0.0142,0.0069,-0.0069
1.9100000000000001,1.86,1.96,0.1785,0.0037,-0.0037,0.0074,-0.0074,0.0054,-0.0054
2.005,1.96,2.05,0.1502,0.0033,-0.0033,0.0109,-0.0109,0.0055,-0.0055
2.0999999999999996,2.05,2.15,0.1337,0.0033,-0.0033,0.0091,-0.0091,0.0062,-0.0062
2.1950000000000003,2.15,2.24,0.113,0.0029,-0.0029,0.0081,-0.0081,0.0062,-0.0062
2.29,2.24,2.34,0.0963,0.0026,-0.0026,0.0064,-0.0064,0.0059,-0.0059
2.3899999999999997,2.34,2.44,0.0907,0.0025,-0.0025,0.008,-0.008,0.0054,-0.0054
2.485,2.44,2.53,0.076,0.0026,-0.0026,0.0065,-0.0065,0.0047,-0.0047
2.58,2.53,2.63,0.0602,0.0021,-0.0021,0.0028,-0.0028,0.006,-0.006
2.7249999999999996,2.63,2.82,0.0521,0.0018,-0.0018,0.0056,-0.0056,0.0027,-0.0027
2.915,2.82,3.01,0.0426,0.0019,-0.0019,0.0012,-0.0012,0.0031,-0.0031
3.105,3.01,3.2,0.028,0.0016,-0.0016,0.0015,-0.0015,0.0021,-0.0021
3.295,3.2,3.39,0.0202,0.0011,-0.0011,0.002,-0.002,0.0021,-0.0021
3.4850000000000003,3.39,3.58,0.0157,0.0012,-0.0012,0.0019,-0.0019,0.0015,-0.0015
3.725,3.58,3.87,0.011,0.001,-0.001,0,0,0.001,-0.001
4.105,3.87,4.34,0.00472,0.00057,-0.00057,0.00078,-0.00078,0.00041,-0.00041

