#: table_doi: 10.17182/hepdata.90831.v1/t117
#: name: table no 117
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmax region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_117.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.04,0.01,-0.01,0,0,0.01,-0.01
0.195,0.1,0.29,0.102,0.016,-0.016,0.005,-0.005,0.008,-0.008
0.385,0.29,0.48,0.226,0.022,-0.022,0.007,-0.007,0.01,-0.01
0.575,0.48,0.67,0.296,0.024,-0.024,0.007,-0.007,0.013,-0.013
0.765,0.67,0.86,0.353,0.024,-0.024,0.007,-0.007,0.017,-0.017
0.9550000000000001,0.86,1.05,0.391,0.023,-0.023,0.006,-0.006,0.019,-0.019
1.145,1.05,1.24,0.414,0.024,-0.024,0.006,-0.006,0.019,-0.019
1.335,1.24,1.43,0.336,0.023,-0.023,0.006,-0.006,0.016,-0.016
1.525,1.43,1.62,0.33,0.02,-0.02,0.01,-0.01,0.01,-0.01
1.715,1.62,1.81,0.348,0.017,-0.017,0.009,-0.009,0.012,-0.012
1.91,1.81,2.01,0.327,0.018,-0.018,0.009,-0.009,0.011,-0.011
2.105,2.01,2.2,0.265,0.016,-0.016,0.009,-0.009,0.009,-0.009
2.295,2.2,2.39,0.238,0.015,-0.015,0.01,-0.01,0.008,-0.008
2.4850000000000003,2.39,2.58,0.212,0.014,-0.014,0.01,-0.01,0.008,-0.008
2.675,2.58,2.77,0.2,0.012,-0.012,0.009,-0.009,0.009,-0.009
2.865,2.77,2.96,0.21,0.014,-0.014,0.007,-0.007,0.01,-0.01
3.0549999999999997,2.96,3.15,0.192,0.014,-0.014,0.005,-0.005,0.011,-0.011
3.245,3.15,3.34,0.1485,0.0097,-0.0097,0.0042,-0.0042,0.0106,-0.0106
3.4349999999999996,3.34,3.53,0.13,0.01,-0.01,0,0,0.01,-0.01
3.625,3.53,3.72,0.0809,0.0067,-0.0067,0.0032,-0.0032,0.0078,-0.0078
3.8200000000000003,3.72,3.92,0.064,0.0071,-0.0071,0.0023,-0.0023,0.0077,-0.0077
4.015000000000001,3.92,4.11,0.0528,0.0062,-0.0062,0.002,-0.002,0.0082,-0.0082
4.205,4.11,4.3,0.0447,0.0078,-0.0078,0.0017,-0.0017,0.008,-0.008

