#: table_doi: 10.17182/hepdata.90831.v1/t469
#: name: table no 469
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_469.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.725,0.031,-0.031,0.028,-0.028,0.016,-0.016
0.48,0.29,0.67,0.586,0.029,-0.029,0.021,-0.021,0.01,-0.01
0.8600000000000001,0.67,1.05,0.426,0.023,-0.023,0.015,-0.015,0.008,-0.008
1.24,1.05,1.43,0.335,0.018,-0.018,0.013,-0.013,0.009,-0.009
1.62,1.43,1.81,0.199,0.014,-0.014,0.01,-0.01,0.008,-0.008
2.005,1.81,2.2,0.136,0.011,-0.011,0.006,-0.006,0.007,-0.007
2.39,2.2,2.58,0.1111,0.0097,-0.0097,0.0049,-0.0049,0.005,-0.005
2.77,2.58,2.96,0.0855,0.0097,-0.0097,0.0039,-0.0039,0.0052,-0.0052
3.15,2.96,3.34,0.046,0.0072,-0.0072,0.006,-0.006,0.0045,-0.0045
3.5300000000000002,3.34,3.72,0.0276,0.0033,-0.0033,0.0014,-0.0014,0.0057,-0.0057
4.2,3.72,4.68,0.0185,0.0026,-0.0026,0.0009,-0.0009,0.002,-0.002
5.0600000000000005,4.68,5.44,0.0081,0.0021,-0.0021,0.001,-0.001,0.0027,-0.0027

