#: table_doi: 10.17182/hepdata.90831.v1/t311
#: name: table no 311
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmax region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_311.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.043,0.0014,-0.0014,0.0097,-0.0097,0.0068,-0.0068
0.48,0.29,0.67,0.2192,0.0024,-0.0024,0.015,-0.015,0.0067,-0.0067
0.8600000000000001,0.67,1.05,0.3832,0.0029,-0.0029,0.0188,-0.0188,0.0082,-0.0082
1.24,1.05,1.43,0.43,0.0027,-0.0027,0.012,-0.012,0.006,-0.006
1.62,1.43,1.81,0.3895,0.0025,-0.0025,0.0101,-0.0101,0.0037,-0.0037
2.005,1.81,2.2,0.3202,0.0022,-0.0022,0.0101,-0.0101,0.003,-0.003
2.39,2.2,2.58,0.245,0.0018,-0.0018,0.0106,-0.0106,0.0039,-0.0039
2.77,2.58,2.96,0.1776,0.0015,-0.0015,0.0095,-0.0095,0.0039,-0.0039
3.15,2.96,3.34,0.1283,0.0013,-0.0013,0.006,-0.006,0.0035,-0.0035
3.5300000000000002,3.34,3.72,0.0897,0.0011,-0.0011,0.0045,-0.0045,0.0039,-0.0039
4.2,3.72,4.68,0.049,0.00063,-0.00063,0.00114,-0.00114,0.00143,-0.00143
5.0600000000000005,4.68,5.44,0.02115,0.00046,-0.00046,0.00132,-0.00132,0.00151,-0.00151

