#: table_doi: 10.17182/hepdata.90831.v1/t25
#: name: table no 25
#: description: away region : low thrust ($T<0.75$) Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_25.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.2824,0.0013,-0.0013,0.0248,-0.0248,0.0038,-0.0038
15.0,10.0,20.0,1.5205,0.0018,-0.0018,0.0258,-0.0258,0.0077,-0.0077
30.0,20.0,40.0,1.791,0.0025,-0.0025,0.0281,-0.0281,0.0059,-0.0059
50.0,40.0,60.0,2.0744,0.0054,-0.0054,0.0317,-0.0317,0.0041,-0.0041
70.0,60.0,80.0,2.28,0.01,-0.01,0.03,-0.03,0.01,-0.01
100.0,80.0,120.0,2.475,0.014,-0.014,0.04,-0.04,0.015,-0.015
160.0,120.0,200.0,2.78,0.03,-0.03,0.04,-0.04,0,0
350.0,200.0,500.0,3.246,0.074,-0.074,0.056,-0.056,0.182,-0.182

