#: table_doi: 10.17182/hepdata.90831.v1/t451
#: name: table no 451
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_451.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.4,0.014,-0.014,0.035,-0.035,0.018,-0.018
0.23500000000000001,0.14,0.33,0.46,0.015,-0.015,0.016,-0.016,0.011,-0.011
0.43000000000000005,0.33,0.53,0.481,0.013,-0.013,0.019,-0.019,0.009,-0.009
0.625,0.53,0.72,0.444,0.011,-0.011,0.01,-0.01,0.007,-0.007
0.815,0.72,0.91,0.432,0.011,-0.011,0.008,-0.008,0.006,-0.006
1.0050000000000001,0.91,1.1,0.4048,0.0091,-0.0091,0.0078,-0.0078,0.005,-0.005
1.195,1.1,1.29,0.3571,0.0086,-0.0086,0.0088,-0.0088,0.0046,-0.0046
1.385,1.29,1.48,0.3247,0.0077,-0.0077,0.0079,-0.0079,0.0045,-0.0045
1.575,1.48,1.67,0.2854,0.0074,-0.0074,0.0076,-0.0076,0.0056,-0.0056
1.7650000000000001,1.67,1.86,0.248,0.007,-0.007,0.01,-0.01,0.007,-0.007
2.1,1.86,2.34,0.1853,0.0047,-0.0047,0.008,-0.008,0.003,-0.003
2.5300000000000002,2.34,2.72,0.118,0.004,-0.004,0.004,-0.004,0.003,-0.003
2.91,2.72,3.1,0.0814,0.0032,-0.0032,0.002,-0.002,0.0024,-0.0024
3.295,3.1,3.49,0.0618,0.0027,-0.0027,0.0014,-0.0014,0.0023,-0.0023
3.68,3.49,3.87,0.0468,0.0025,-0.0025,0.0026,-0.0026,0.0031,-0.0031
4.105,3.87,4.34,0.0397,0.0021,-0.0021,0.0021,-0.0021,0.0025,-0.0025
4.58,4.34,4.82,0.0248,0.0016,-0.0016,0.0007,-0.0007,0.0023,-0.0023
5.0600000000000005,4.82,5.3,0.0156,0.0011,-0.0011,0.002,-0.002,0.0011,-0.0011
5.54,5.3,5.78,0.013,0.001,-0.001,0.001,-0.001,0.001,-0.001

