#: table_doi: 10.17182/hepdata.90831.v1/t329
#: name: table no 329
#: description: $\frac{N_{ev}}{d(mean p_{t})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust(T<0.75),toward region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_329.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0192,0.0041,-0.0041,0.01,-0.01,0.0052,-0.0052
0.6000000000000001,0.55,0.65,0.1216,0.0097,-0.0097,0.016,-0.016,0.0059,-0.0059
0.7,0.65,0.75,0.309,0.015,-0.015,0.029,-0.029,0.008,-0.008
0.8,0.75,0.85,0.747,0.022,-0.022,0.046,-0.046,0.011,-0.011
0.8999999999999999,0.85,0.95,1.349,0.027,-0.027,0.071,-0.071,0.014,-0.014
1.0,0.95,1.05,1.82,0.03,-0.03,0.09,-0.09,0.01,-0.01
1.1,1.05,1.15,1.7,0.027,-0.027,0.078,-0.078,0.015,-0.015
1.2,1.15,1.25,1.289,0.024,-0.024,0.08,-0.08,0.013,-0.013
1.3,1.25,1.35,0.865,0.019,-0.019,0.043,-0.043,0.013,-0.013
1.4,1.35,1.45,0.612,0.016,-0.016,0.033,-0.033,0.011,-0.011
1.5,1.45,1.55,0.377,0.011,-0.011,0.022,-0.022,0.01,-0.01
1.6,1.55,1.65,0.229,0.009,-0.009,0.016,-0.016,0.007,-0.007
1.7,1.65,1.75,0.1343,0.0065,-0.0065,0.0108,-0.0108,0.0057,-0.0057
1.8,1.75,1.85,0.114,0.0052,-0.0052,0.0082,-0.0082,0.0057,-0.0057
1.9,1.85,1.95,0.0807,0.0051,-0.0051,0.0068,-0.0068,0.0061,-0.0061
2.0,1.95,2.05,0.0571,0.0054,-0.0054,0.0052,-0.0052,0.0073,-0.0073
2.0999999999999996,2.05,2.15,0.0461,0.0043,-0.0043,0.0046,-0.0046,0.006,-0.006
2.2,2.15,2.25,0.0284,0.0029,-0.0029,0.0034,-0.0034,0.0084,-0.0084
2.3,2.25,2.35,0.0296,0.0045,-0.0045,0.0029,-0.0029,0.0072,-0.0072
2.4000000000000004,2.35,2.45,0.0226,0.0034,-0.0034,0.0023,-0.0023,0.0066,-0.0066
2.5,2.45,2.55,0.0068,0.0018,-0.0018,0.0022,-0.0022,0.0043,-0.0043
2.5999999999999996,2.55,2.65,0.0091,0.0027,-0.0027,0.0018,-0.0018,0.0034,-0.0034
2.7,2.65,2.75,0.008,0.0023,-0.0023,0.0015,-0.0015,0.0038,-0.0038
2.8,2.75,2.85,0.0082,0.0026,-0.0026,0.0016,-0.0016,0.0022,-0.0022
2.9000000000000004,2.85,2.95,0.00086,0.00038,-0.00038,0.00125,-0.00125,0.00244,-0.00244

