#: table_doi: 10.17182/hepdata.90831.v1/t298
#: name: table no 298
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_298.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.011,0.004,-0.004,0.005,-0.005,0.003,-0.003
0.23500000000000001,0.14,0.33,0.0349,0.0057,-0.0057,0.0061,-0.0061,0.0036,-0.0036
0.43000000000000005,0.33,0.53,0.079,0.0083,-0.0083,0.0088,-0.0088,0.006,-0.006
0.625,0.53,0.72,0.1273,0.0096,-0.0096,0.0117,-0.0117,0.01,-0.01
0.815,0.72,0.91,0.2,0.011,-0.011,0.008,-0.008,0.012,-0.012
1.0050000000000001,0.91,1.1,0.262,0.012,-0.012,0.008,-0.008,0.012,-0.012
1.195,1.1,1.29,0.289,0.012,-0.012,0.009,-0.009,0.009,-0.009
1.385,1.29,1.48,0.302,0.012,-0.012,0.007,-0.007,0.009,-0.009
1.575,1.48,1.67,0.321,0.013,-0.013,0.02,-0.02,0.009,-0.009
1.7650000000000001,1.67,1.86,0.362,0.012,-0.012,0.019,-0.019,0.009,-0.009
2.1,1.86,2.34,0.3413,0.0093,-0.0093,0.0049,-0.0049,0.0042,-0.0042
2.5300000000000002,2.34,2.72,0.2697,0.0098,-0.0098,0.0069,-0.0069,0.0051,-0.0051
2.91,2.72,3.1,0.2328,0.0084,-0.0084,0.0036,-0.0036,0.006,-0.006
3.295,3.1,3.49,0.186,0.007,-0.007,0.009,-0.009,0.006,-0.006
3.68,3.49,3.87,0.1377,0.0061,-0.0061,0.0101,-0.0101,0.0069,-0.0069
4.105,3.87,4.34,0.0883,0.0048,-0.0048,0.0019,-0.0019,0.0037,-0.0037
4.58,4.34,4.82,0.062,0.0041,-0.0041,0.0187,-0.0187,0.0026,-0.0026
5.0600000000000005,4.82,5.3,0.0436,0.0034,-0.0034,0.0052,-0.0052,0.0023,-0.0023
5.54,5.3,5.78,0.0305,0.0028,-0.0028,0.0014,-0.0014,0.0024,-0.0024

