#: table_doi: 10.17182/hepdata.90831.v1/t277
#: name: table no 277
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transmax region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_277.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0,0,0,0.000364,-0.000364,0,0
0.195,0.1,0.29,0,0,0,0.001052,-0.001052,0,0
0.385,0.29,0.48,0,0,0,0.002321,-0.002321,0.0045,-0.0045
0.575,0.48,0.67,0.056,0.036,-0.036,0.013,-0.013,0.018,-0.018
0.765,0.67,0.86,0.112,0.041,-0.041,0.011,-0.011,0.026,-0.026
0.9550000000000001,0.86,1.05,0.101,0.048,-0.048,0.026,-0.026,0.041,-0.041
1.145,1.05,1.24,0.228,0.075,-0.075,0.018,-0.018,0.038,-0.038
1.335,1.24,1.43,0.073,0.041,-0.041,0.036,-0.036,0.038,-0.038
1.525,1.43,1.62,0.05,0.023,-0.023,0.07,-0.07,0.031,-0.031
1.715,1.62,1.81,0.117,0.031,-0.031,0.17,-0.17,0.045,-0.045
1.91,1.81,2.01,0.173,0.061,-0.061,0.057,-0.057,0.06,-0.06
2.105,2.01,2.2,0.328,0.075,-0.075,0.067,-0.067,0.103,-0.103
2.295,2.2,2.39,0.446,0.097,-0.097,0.154,-0.154,0.139,-0.139
2.4850000000000003,2.39,2.58,0.54,0.11,-0.11,0.16,-0.16,0.14,-0.14
2.675,2.58,2.77,0.19,0.05,-0.05,0.19,-0.19,0.15,-0.15
2.865,2.77,2.96,0.5,0.1,-0.1,0.2,-0.2,0.1,-0.1
3.0549999999999997,2.96,3.15,0.302,0.083,-0.083,0.058,-0.058,0.105,-0.105
3.245,3.15,3.34,0.217,0.067,-0.067,0.031,-0.031,0.088,-0.088
3.4349999999999996,3.34,3.53,0.245,0.058,-0.058,0.205,-0.205,0.091,-0.091
3.625,3.53,3.72,0.117,0.048,-0.048,0.089,-0.089,0.116,-0.116
3.8200000000000003,3.72,3.92,0.209,0.073,-0.073,0.006,-0.006,0.158,-0.158
4.015000000000001,3.92,4.11,0.411,0.096,-0.096,0.193,-0.193,0.202,-0.202
4.205,4.11,4.3,0.206,0.055,-0.055,0.044,-0.044,0.215,-0.215

