#: table_doi: 10.17182/hepdata.90831.v1/t142
#: name: table no 142
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transmin region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_142.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,1.0874,0.0028,-0.0028,0.0034,-0.0034,0.0175,-0.0175
0.48,0.29,0.67,0.639,0.0023,-0.0023,0.0021,-0.0021,0.0105,-0.0105
0.8600000000000001,0.67,1.05,0.4525,0.0015,-0.0015,0.0015,-0.0015,0.0072,-0.0072
1.24,1.05,1.43,0.2808,0.0012,-0.0012,0.0009,-0.0009,0.0052,-0.0052
1.62,1.43,1.81,0.17039,0.00091,-0.00091,0.00061,-0.00061,0.00484,-0.00484
2.005,1.81,2.2,0.10329,0.00069,-0.00069,0.00048,-0.00048,0.0043,-0.0043
2.39,2.2,2.58,0.0613,0.0005,-0.0005,0.0005,-0.0005,0.0034,-0.0034
2.77,2.58,2.96,0.03661,0.00039,-0.00039,0.0004,-0.0004,0.00241,-0.00241
3.15,2.96,3.34,0.02165,0.00032,-0.00032,0.00032,-0.00032,0.0017,-0.0017
3.5300000000000002,3.34,3.72,0.01303,0.00024,-0.00024,0.00027,-0.00027,0.0012,-0.0012
4.2,3.72,4.68,0.00597,0.00015,-0.00015,9e-05,-9e-05,0.00035,-0.00035
5.0600000000000005,4.68,5.44,0.00214,8.8e-05,-8.8e-05,0.00011,-0.00011,0.00027,-0.00027

