#: table_doi: 10.17182/hepdata.90831.v1/t104
#: name: table no 104
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,transmin region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_104.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.1,0.1,0.5016,0.0042,-0.0042,0.0079,-0.0079,0.0179,-0.0179
0.195,0.1,0.29,0.6202,0.0046,-0.0046,0.0063,-0.0063,0.0162,-0.0162
0.385,0.29,0.48,0.6527,0.0037,-0.0037,0.0043,-0.0043,0.0125,-0.0125
0.575,0.48,0.67,0.6287,0.0034,-0.0034,0.0035,-0.0035,0.0083,-0.0083
0.765,0.67,0.86,0.5648,0.0029,-0.0029,0.0038,-0.0038,0.0051,-0.0051
0.9550000000000001,0.86,1.05,0.4907,0.0026,-0.0026,0.0041,-0.0041,0.0039,-0.0039
1.145,1.05,1.24,0.4029,0.0022,-0.0022,0.004,-0.004,0.0046,-0.0046
1.335,1.24,1.43,0.3266,0.0019,-0.0019,0.003,-0.003,0.0057,-0.0057
1.525,1.43,1.62,0.2556,0.0017,-0.0017,0.0022,-0.0022,0.0064,-0.0064
1.715,1.62,1.81,0.1982,0.0015,-0.0015,0.0016,-0.0016,0.0063,-0.0063
1.91,1.81,2.01,0.1539,0.0013,-0.0013,0.0017,-0.0017,0.0058,-0.0058
2.105,2.01,2.2,0.1144,0.0011,-0.0011,0.0017,-0.0017,0.0052,-0.0052
2.295,2.2,2.39,0.08549,0.00098,-0.00098,0.00167,-0.00167,0.00454,-0.00454
2.4850000000000003,2.39,2.58,0.06416,0.00081,-0.00081,0.00138,-0.00138,0.00386,-0.00386
2.675,2.58,2.77,0.04613,0.00075,-0.00075,0.00108,-0.00108,0.00319,-0.00319
2.865,2.77,2.96,0.03408,0.00065,-0.00065,0.00101,-0.00101,0.00255,-0.00255
3.0549999999999997,2.96,3.15,0.02444,0.00058,-0.00058,0.00105,-0.00105,0.0021,-0.0021
3.245,3.15,3.34,0.01901,0.00047,-0.00047,0.001,-0.001,0.00175,-0.00175
3.4349999999999996,3.34,3.53,0.01396,0.00042,-0.00042,0.00082,-0.00082,0.00141,-0.00141
3.625,3.53,3.72,0.01068,0.00036,-0.00036,0.00067,-0.00067,0.00108,-0.00108
3.8200000000000003,3.72,3.92,0.00728,0.00037,-0.00037,0.00064,-0.00064,0.00078,-0.00078
4.015000000000001,3.92,4.11,0.00567,0.00026,-0.00026,0.00063,-0.00063,0.00062,-0.00062
4.205,4.11,4.3,0.00439,0.00025,-0.00025,0.00046,-0.00046,0.0005,-0.0005

