#: table_doi: 10.17182/hepdata.90831.v1/t2
#: name: table no 2
#: description: transverse region : Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_2.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.0936,0.0015,-0.0015,0.0243,-0.0243,0.0026,-0.0026
15.0,10.0,20.0,1.261,0.002,-0.002,0.024,-0.024,0.092,-0.092
30.0,20.0,40.0,1.4708,0.0028,-0.0028,0.0272,-0.0272,0.018,-0.018
50.0,40.0,60.0,1.7095,0.0056,-0.0056,0.0277,-0.0277,0.0419,-0.0419
70.0,60.0,80.0,1.89,0.01,-0.01,0.04,-0.04,0.08,-0.08
100.0,80.0,120.0,2.174,0.012,-0.012,0.038,-0.038,0.034,-0.034
160.0,120.0,200.0,2.47,0.02,-0.02,0.04,-0.04,0.04,-0.04
350.0,200.0,500.0,3.051,0.051,-0.051,0.04,-0.04,0.05,-0.05

