#: table_doi: 10.17182/hepdata.90831.v1/t310
#: name: table no 310
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transmax region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_310.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.1058,0.0017,-0.0017,0.014,-0.014,0.0096,-0.0096
0.48,0.29,0.67,0.3404,0.0024,-0.0024,0.0196,-0.0196,0.0083,-0.0083
0.8600000000000001,0.67,1.05,0.4568,0.0023,-0.0023,0.0124,-0.0124,0.0082,-0.0082
1.24,1.05,1.43,0.4461,0.0022,-0.0022,0.009,-0.009,0.0049,-0.0049
1.62,1.43,1.81,0.3668,0.0018,-0.0018,0.0088,-0.0088,0.0026,-0.0026
2.005,1.81,2.2,0.2815,0.0015,-0.0015,0.0117,-0.0117,0.0031,-0.0031
2.39,2.2,2.58,0.2032,0.0012,-0.0012,0.0088,-0.0088,0.0045,-0.0045
2.77,2.58,2.96,0.14261,0.00097,-0.00097,0.00728,-0.00728,0.00465,-0.00465
3.15,2.96,3.34,0.09867,0.00082,-0.00082,0.00423,-0.00423,0.00387,-0.00387
3.5300000000000002,3.34,3.72,0.06731,0.00067,-0.00067,0.00232,-0.00232,0.00367,-0.00367
4.2,3.72,4.68,0.03403,0.00041,-0.00041,0.00119,-0.00119,0.0012,-0.0012
5.0600000000000005,4.68,5.44,0.01369,0.00026,-0.00026,0.00103,-0.00103,0.0012,-0.0012

