#: table_doi: 10.17182/hepdata.90831.v1/t287
#: name: table no 287
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_287.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.1966,0.0042,-0.0042,0.0066,-0.0066,0.0126,-0.0126
0.23500000000000001,0.14,0.33,0.3246,0.0042,-0.0042,0.0069,-0.0069,0.011,-0.011
0.43000000000000005,0.33,0.53,0.4538,0.0043,-0.0043,0.007,-0.007,0.0121,-0.0121
0.625,0.53,0.72,0.5052,0.0041,-0.0041,0.0065,-0.0065,0.0109,-0.0109
0.815,0.72,0.91,0.5197,0.0038,-0.0038,0.0057,-0.0057,0.0077,-0.0077
1.0050000000000001,0.91,1.1,0.5072,0.0039,-0.0039,0.0057,-0.0057,0.005,-0.005
1.195,1.1,1.29,0.4735,0.0035,-0.0035,0.0047,-0.0047,0.0033,-0.0033
1.385,1.29,1.48,0.4111,0.0032,-0.0032,0.0067,-0.0067,0.0032,-0.0032
1.575,1.48,1.67,0.3504,0.0031,-0.0031,0.0068,-0.0068,0.0038,-0.0038
1.7650000000000001,1.67,1.86,0.2939,0.0028,-0.0028,0.0034,-0.0034,0.0072,-0.0072
2.1,1.86,2.34,0.2182,0.0018,-0.0018,0.0022,-0.0022,0.0035,-0.0035
2.5300000000000002,2.34,2.72,0.1355,0.0015,-0.0015,0.0036,-0.0036,0.005,-0.005
2.91,2.72,3.1,0.086,0.0012,-0.0012,0.0024,-0.0024,0.0036,-0.0036
3.295,3.1,3.49,0.053,0.001,-0.001,0,0,0.003,-0.003
3.68,3.49,3.87,0.0306,0.00065,-0.00065,0.00111,-0.00111,0.00203,-0.00203
4.105,3.87,4.34,0.0168,0.00047,-0.00047,0.00165,-0.00165,0.0011,-0.0011
4.58,4.34,4.82,0.00925,0.00035,-0.00035,0.00084,-0.00084,0.00077,-0.00077
5.0600000000000005,4.82,5.3,0.00537,0.00026,-0.00026,0.0005,-0.0005,0.00046,-0.00046
5.54,5.3,5.78,0.00331,0.00024,-0.00024,0.0003,-0.0003,0.00036,-0.00036

