#: table_doi: 10.17182/hepdata.90831.v1/t130
#: name: table no 130
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_130.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.38,0.01,-0.01,0.02,-0.02,0.02,-0.02
0.23500000000000001,0.14,0.33,0.4176,0.0099,-0.0099,0.0147,-0.0147,0.0105,-0.0105
0.43000000000000005,0.33,0.53,0.4431,0.0087,-0.0087,0.012,-0.012,0.0091,-0.0091
0.625,0.53,0.72,0.4588,0.0083,-0.0083,0.0104,-0.0104,0.0074,-0.0074
0.815,0.72,0.91,0.4487,0.0081,-0.0081,0.0092,-0.0092,0.0061,-0.0061
1.0050000000000001,0.91,1.1,0.4214,0.0074,-0.0074,0.0085,-0.0085,0.0049,-0.0049
1.195,1.1,1.29,0.3863,0.0068,-0.0068,0.0078,-0.0078,0.0045,-0.0045
1.385,1.29,1.48,0.3389,0.0059,-0.0059,0.007,-0.007,0.0045,-0.0045
1.575,1.48,1.67,0.3108,0.0061,-0.0061,0.0063,-0.0063,0.0057,-0.0057
1.7650000000000001,1.67,1.86,0.2584,0.0052,-0.0052,0.0052,-0.0052,0.007,-0.007
2.1,1.86,2.34,0.1879,0.0037,-0.0037,0.0037,-0.0037,0.0033,-0.0033
2.5300000000000002,2.34,2.72,0.1234,0.0032,-0.0032,0.0025,-0.0025,0.0038,-0.0038
2.91,2.72,3.1,0.0955,0.0028,-0.0028,0.002,-0.002,0.0033,-0.0033
3.295,3.1,3.49,0.069,0.0024,-0.0024,0.0016,-0.0016,0.0027,-0.0027
3.68,3.49,3.87,0.048,0.002,-0.002,0.002,-0.002,0.002,-0.002
4.105,3.87,4.34,0.0313,0.0015,-0.0015,0.0015,-0.0015,0.0015,-0.0015
4.58,4.34,4.82,0.0215,0.0012,-0.0012,0.0016,-0.0016,0.0013,-0.0013
5.0600000000000005,4.82,5.3,0.0174,0.0011,-0.0011,0.0015,-0.0015,0.0013,-0.0013
5.54,5.3,5.78,0.0084,0.00085,-0.00085,0.00153,-0.00153,0.00145,-0.00145

