#: table_doi: 10.17182/hepdata.90831.v1/t254
#: name: table no 254
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),transverse region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_254.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.01044,0.00094,-0.00094,0.00253,-0.00253,0.00315,-0.00315
0.095,0.05,0.14,0.1054,0.0029,-0.0029,0.0075,-0.0075,0.0058,-0.0058
0.19,0.14,0.24,0.2217,0.0032,-0.0032,0.0141,-0.0141,0.0115,-0.0115
0.28500000000000003,0.24,0.33,0.343,0.0036,-0.0036,0.0158,-0.0158,0.0159,-0.0159
0.38,0.33,0.43,0.4513,0.0036,-0.0036,0.0073,-0.0073,0.0182,-0.0182
0.48,0.43,0.53,0.5322,0.0036,-0.0036,0.0096,-0.0096,0.0176,-0.0176
0.575,0.53,0.62,0.5952,0.0036,-0.0036,0.0078,-0.0078,0.0164,-0.0164
0.6699999999999999,0.62,0.72,0.6251,0.0035,-0.0035,0.0083,-0.0083,0.014,-0.014
0.765,0.72,0.81,0.6359,0.0034,-0.0034,0.0084,-0.0084,0.0123,-0.0123
0.8600000000000001,0.81,0.91,0.6347,0.0034,-0.0034,0.0049,-0.0049,0.0098,-0.0098
0.9550000000000001,0.91,1.0,0.6217,0.0032,-0.0032,0.0042,-0.0042,0.0074,-0.0074
1.05,1.0,1.1,0.6,0.003,-0.003,0.005,-0.005,0.005,-0.005
1.145,1.1,1.19,0.5628,0.0028,-0.0028,0.0048,-0.0048,0.0026,-0.0026
1.24,1.19,1.29,0.5288,0.0027,-0.0027,0.0033,-0.0033,0.0022,-0.0022
1.335,1.29,1.38,0.4843,0.0025,-0.0025,0.0066,-0.0066,0.0024,-0.0024
1.43,1.38,1.48,0.4393,0.0024,-0.0024,0.0078,-0.0078,0.0037,-0.0037
1.53,1.48,1.58,0.3946,0.0022,-0.0022,0.0064,-0.0064,0.0049,-0.0049
1.625,1.58,1.67,0.3552,0.0021,-0.0021,0.0118,-0.0118,0.0067,-0.0067
1.72,1.67,1.77,0.316,0.002,-0.002,0.007,-0.007,0.007,-0.007
1.815,1.77,1.86,0.2769,0.0019,-0.0019,0.0081,-0.0081,0.008,-0.008
1.9100000000000001,1.86,1.96,0.2446,0.0018,-0.0018,0.0121,-0.0121,0.0079,-0.0079
2.005,1.96,2.05,0.2112,0.0016,-0.0016,0.0074,-0.0074,0.0084,-0.0084
2.0999999999999996,2.05,2.15,0.1888,0.0015,-0.0015,0.0087,-0.0087,0.008,-0.008
2.1950000000000003,2.15,2.24,0.1611,0.0013,-0.0013,0.0065,-0.0065,0.0075,-0.0075
2.29,2.24,2.34,0.1393,0.0012,-0.0012,0.006,-0.006,0.0067,-0.0067
2.3899999999999997,2.34,2.44,0.1205,0.0011,-0.0011,0.0051,-0.0051,0.006,-0.006
2.485,2.44,2.53,0.103,0.001,-0.001,0.001,-0.001,0.006,-0.006
2.58,2.53,2.63,0.08806,0.00099,-0.00099,0.00091,-0.00091,0.00697,-0.00697
2.7249999999999996,2.63,2.82,0.07207,0.00089,-0.00089,0.00149,-0.00149,0.00366,-0.00366
2.915,2.82,3.01,0.05038,0.00075,-0.00075,0.0021,-0.0021,0.00392,-0.00392
3.105,3.01,3.2,0.03806,0.00059,-0.00059,0.00163,-0.00163,0.00319,-0.00319
3.295,3.2,3.39,0.02472,0.00049,-0.00049,0.00218,-0.00218,0.00284,-0.00284
3.4850000000000003,3.39,3.58,0.0177,0.00042,-0.00042,0.00139,-0.00139,0.00256,-0.00256
3.725,3.58,3.87,0.01144,0.00035,-0.00035,0.00116,-0.00116,0.00146,-0.00146
4.105,3.87,4.34,0.0051,0.0002,-0.0002,0.001,-0.001,0.0007,-0.0007

