#: table_doi: 10.17182/hepdata.90831.v1/t161
#: name: table no 161
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_161.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0294,0.0018,-0.0018,0.0016,-0.0016,0.0022,-0.0022
0.23500000000000001,0.14,0.33,0.039,0.002,-0.002,0.002,-0.002,0.002,-0.002
0.43000000000000005,0.33,0.53,0.048,0.0019,-0.0019,0.0021,-0.0021,0.0022,-0.0022
0.625,0.53,0.72,0.062,0.002,-0.002,0.003,-0.003,0.003,-0.003
0.815,0.72,0.91,0.0761,0.0022,-0.0022,0.0033,-0.0033,0.0027,-0.0027
1.0050000000000001,0.91,1.1,0.0804,0.0019,-0.0019,0.0034,-0.0034,0.0029,-0.0029
1.195,1.1,1.29,0.0927,0.0021,-0.0021,0.0039,-0.0039,0.0035,-0.0035
1.385,1.29,1.48,0.1057,0.0021,-0.0021,0.0044,-0.0044,0.0044,-0.0044
1.575,1.48,1.67,0.1297,0.0026,-0.0026,0.0054,-0.0054,0.0058,-0.0058
1.7650000000000001,1.67,1.86,0.1464,0.0026,-0.0026,0.0061,-0.0061,0.0073,-0.0073
2.1,1.86,2.34,0.1675,0.0022,-0.0022,0.0068,-0.0068,0.0034,-0.0034
2.5300000000000002,2.34,2.72,0.2022,0.0025,-0.0025,0.0082,-0.0082,0.0041,-0.0041
2.91,2.72,3.1,0.2216,0.0026,-0.0026,0.009,-0.009,0.0033,-0.0033
3.295,3.1,3.49,0.2316,0.0026,-0.0026,0.0094,-0.0094,0.0024,-0.0024
3.68,3.49,3.87,0.2318,0.0025,-0.0025,0.0094,-0.0094,0.0024,-0.0024
4.105,3.87,4.34,0.2154,0.0023,-0.0023,0.0087,-0.0087,0.0024,-0.0024
4.58,4.34,4.82,0.1814,0.0022,-0.0022,0.0074,-0.0074,0.0032,-0.0032
5.0600000000000005,4.82,5.3,0.1381,0.0018,-0.0018,0.0056,-0.0056,0.0038,-0.0038
5.54,5.3,5.78,0.1026,0.0015,-0.0015,0.0043,-0.0043,0.004,-0.004

