#: table_doi: 10.17182/hepdata.90831.v1/t35
#: name: table no 35
#: description: away region : hight thrust ($0.75\leq T$) Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_35.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.9936,0.0018,-0.0018,0.0181,-0.0181,0.0496,-0.0496
15.0,10.0,20.0,1.5488,0.0028,-0.0028,0.0216,-0.0216,0.0216,-0.0216
30.0,20.0,40.0,2.5174,0.0039,-0.0039,0.0297,-0.0297,0.0126,-0.0126
50.0,40.0,60.0,3.8832,0.0082,-0.0082,0.0413,-0.0413,0.0005,-0.0005
70.0,60.0,80.0,5.136,0.014,-0.014,0.054,-0.054,0.004,-0.004
100.0,80.0,120.0,6.876,0.021,-0.021,0.072,-0.072,0.002,-0.002
160.0,120.0,200.0,10.202,0.047,-0.047,0.099,-0.099,0.078,-0.078
350.0,200.0,500.0,17.11,0.17,-0.17,0.13,-0.13,0.36,-0.36

