#: table_doi: 10.17182/hepdata.90831.v1/t468
#: name: table no 468
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_468.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.802,0.017,-0.017,0.038,-0.038,0.02,-0.02
0.48,0.29,0.67,0.57,0.015,-0.015,0.025,-0.025,0.013,-0.013
0.8600000000000001,0.67,1.05,0.447,0.012,-0.012,0.02,-0.02,0.009,-0.009
1.24,1.05,1.43,0.3161,0.0095,-0.0095,0.0154,-0.0154,0.0063,-0.0063
1.62,1.43,1.81,0.2029,0.0071,-0.0071,0.0118,-0.0118,0.005,-0.005
2.005,1.81,2.2,0.1529,0.0067,-0.0067,0.0085,-0.0085,0.0048,-0.0048
2.39,2.2,2.58,0.0929,0.0046,-0.0046,0.005,-0.005,0.0041,-0.0041
2.77,2.58,2.96,0.0591,0.0039,-0.0039,0.0051,-0.0051,0.0028,-0.0028
3.15,2.96,3.34,0.0362,0.0028,-0.0028,0.0043,-0.0043,0.0018,-0.0018
3.5300000000000002,3.34,3.72,0.025,0.0019,-0.0019,0.0033,-0.0033,0.0019,-0.0019
4.2,3.72,4.68,0.0157,0.0016,-0.0016,0.0014,-0.0014,0.0008,-0.0008
5.0600000000000005,4.68,5.44,0.0095,0.0014,-0.0014,0.0008,-0.0008,0.0009,-0.0009

