#: table_doi: 10.17182/hepdata.90831.v1/t43
#: name: table no 43
#: description: Figure 12b,  mean meanPt transmin high thrust, transmin region : hight thrust ($0.75\leq T$) Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_43.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.9866,0.0013,-0.0013,0.0013,-0.0013,0.0263,-0.0263
15.0,10.0,20.0,1.0218,0.0016,-0.0016,0.0018,-0.0018,0.0101,-0.0101
30.0,20.0,40.0,1.065,0.002,-0.002,0.002,-0.002,0.023,-0.023
50.0,40.0,60.0,1.0918,0.0026,-0.0026,0.0031,-0.0031,0.0309,-0.0309
70.0,60.0,80.0,1.106,0.0039,-0.0039,0.0039,-0.0039,0.0243,-0.0243
100.0,80.0,120.0,1.1209,0.0043,-0.0043,0.004,-0.004,0.0205,-0.0205
160.0,120.0,200.0,1.1437,0.0062,-0.0062,0.0044,-0.0044,0.0088,-0.0088
350.0,200.0,500.0,1.151,0.011,-0.011,0.005,-0.005,0.01,-0.01

