#: table_doi: 10.17182/hepdata.90831.v1/t408
#: name: table no 408
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),toward region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_408.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.382,0.007,-0.007,0.067,-0.067,0.018,-0.018
0.095,0.05,0.14,0.5208,0.0082,-0.0082,0.0464,-0.0464,0.0172,-0.0172
0.19,0.14,0.24,0.5945,0.0083,-0.0083,0.0276,-0.0276,0.0181,-0.0181
0.28500000000000003,0.24,0.33,0.6681,0.0074,-0.0074,0.0185,-0.0185,0.0153,-0.0153
0.38,0.33,0.43,0.695,0.007,-0.007,0.012,-0.012,0.013,-0.013
0.48,0.43,0.53,0.6928,0.0067,-0.0067,0.0111,-0.0111,0.0101,-0.0101
0.575,0.53,0.62,0.6798,0.0061,-0.0061,0.0051,-0.0051,0.0081,-0.0081
0.6699999999999999,0.62,0.72,0.669,0.0055,-0.0055,0.0069,-0.0069,0.0063,-0.0063
0.765,0.72,0.81,0.6376,0.0051,-0.0051,0.0071,-0.0071,0.0053,-0.0053
0.8600000000000001,0.81,0.91,0.586,0.005,-0.005,0.005,-0.005,0.005,-0.005
0.9550000000000001,0.91,1.0,0.5318,0.0049,-0.0049,0.0161,-0.0161,0.0048,-0.0048
1.05,1.0,1.1,0.4879,0.0046,-0.0046,0.0116,-0.0116,0.0043,-0.0043
1.145,1.1,1.19,0.4382,0.0041,-0.0041,0.013,-0.013,0.0052,-0.0052
1.24,1.19,1.29,0.3999,0.0039,-0.0039,0.0141,-0.0141,0.0054,-0.0054
1.335,1.29,1.38,0.3501,0.0036,-0.0036,0.0129,-0.0129,0.0059,-0.0059
1.43,1.38,1.48,0.3022,0.0033,-0.0033,0.0103,-0.0103,0.0058,-0.0058
1.53,1.48,1.58,0.2683,0.0032,-0.0032,0.0079,-0.0079,0.0063,-0.0063
1.625,1.58,1.67,0.226,0.003,-0.003,0.009,-0.009,0.006,-0.006
1.72,1.67,1.77,0.2026,0.0027,-0.0027,0.0106,-0.0106,0.0055,-0.0055
1.815,1.77,1.86,0.1728,0.0024,-0.0024,0.0065,-0.0065,0.0051,-0.0051
1.9100000000000001,1.86,1.96,0.1534,0.0023,-0.0023,0.0053,-0.0053,0.0049,-0.0049
2.005,1.96,2.05,0.1282,0.0019,-0.0019,0.0061,-0.0061,0.0049,-0.0049
2.0999999999999996,2.05,2.15,0.1111,0.0019,-0.0019,0.0056,-0.0056,0.0045,-0.0045
2.1950000000000003,2.15,2.24,0.0944,0.0016,-0.0016,0.0066,-0.0066,0.0042,-0.0042
2.29,2.24,2.34,0.0803,0.0015,-0.0015,0.0037,-0.0037,0.0039,-0.0039
2.3899999999999997,2.34,2.44,0.0671,0.0014,-0.0014,0.0026,-0.0026,0.0042,-0.0042
2.485,2.44,2.53,0.0555,0.0012,-0.0012,0.0037,-0.0037,0.0037,-0.0037
2.58,2.53,2.63,0.0477,0.0011,-0.0011,0.002,-0.002,0.0041,-0.0041
2.7249999999999996,2.63,2.82,0.0347,0.0011,-0.0011,0.0026,-0.0026,0.0019,-0.0019
2.915,2.82,3.01,0.02555,0.00086,-0.00086,0.00154,-0.00154,0.00184,-0.00184
3.105,3.01,3.2,0.0177,0.0007,-0.0007,0.0019,-0.0019,0.0014,-0.0014
3.295,3.2,3.39,0.0131,0.0006,-0.0006,0.0014,-0.0014,0.001,-0.001
3.4850000000000003,3.39,3.58,0.00745,0.00038,-0.00038,0.00087,-0.00087,0.00099,-0.00099
3.725,3.58,3.87,0.00444,0.00036,-0.00036,0.00129,-0.00129,0.00049,-0.00049
4.105,3.87,4.34,0.00263,0.00023,-0.00023,0.0003,-0.0003,0.00027,-0.00027

