#: table_doi: 10.17182/hepdata.90831.v1/t31
#: name: table no 31
#: description: Figure 04d from auxiliary figures,  mean sumPt toward high thrust, toward region : hight thrust ($0.75\leq T$) Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_31.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,0.8172,0.0017,-0.0017,0.0145,-0.0145,0.0369,-0.0369
15.0,10.0,20.0,0.9589,0.0023,-0.0023,0.016,-0.016,0.047,-0.047
30.0,20.0,40.0,1.163,0.003,-0.003,0.021,-0.021,0.032,-0.032
50.0,40.0,60.0,1.3444,0.0055,-0.0055,0.0207,-0.0207,0.0545,-0.0545
70.0,60.0,80.0,1.5156,0.0097,-0.0097,0.0216,-0.0216,0.0644,-0.0644
100.0,80.0,120.0,1.62,0.01,-0.01,0.03,-0.03,0.05,-0.05
160.0,120.0,200.0,1.865,0.019,-0.019,0.023,-0.023,0.147,-0.147
350.0,200.0,500.0,2.368,0.054,-0.054,0.045,-0.045,0.027,-0.027

