#: table_doi: 10.17182/hepdata.90831.v1/t504
#: name: table no 504
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),transmin region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_504.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.179,0.006,-0.006,0.135,-0.135,0.022,-0.022
0.6000000000000001,0.55,0.65,0.805,0.012,-0.012,0.059,-0.059,0.019,-0.019
0.7,0.65,0.75,1.145,0.014,-0.014,0.081,-0.081,0.021,-0.021
0.8,0.75,0.85,1.465,0.015,-0.015,0.099,-0.099,0.019,-0.019
0.8999999999999999,0.85,0.95,1.419,0.014,-0.014,0.034,-0.034,0.02,-0.02
1.0,0.95,1.05,1.209,0.011,-0.011,0.032,-0.032,0.014,-0.014
1.1,1.05,1.15,0.95,0.01,-0.01,0.04,-0.04,0.01,-0.01
1.2,1.15,1.25,0.7129,0.0085,-0.0085,0.0199,-0.0199,0.0101,-0.0101
1.3,1.25,1.35,0.499,0.007,-0.007,0.014,-0.014,0.009,-0.009
1.4,1.35,1.45,0.3661,0.0063,-0.0063,0.0091,-0.0091,0.0069,-0.0069
1.5,1.45,1.55,0.2638,0.0049,-0.0049,0.0145,-0.0145,0.0061,-0.0061
1.6,1.55,1.65,0.1696,0.0039,-0.0039,0.0237,-0.0237,0.0044,-0.0044
1.7,1.65,1.75,0.1366,0.0039,-0.0039,0.0045,-0.0045,0.0043,-0.0043
1.8,1.75,1.85,0.1196,0.0037,-0.0037,0.0067,-0.0067,0.0045,-0.0045
1.9,1.85,1.95,0.0878,0.0031,-0.0031,0.0031,-0.0031,0.0046,-0.0046
2.0,1.95,2.05,0.0674,0.0024,-0.0024,0.0015,-0.0015,0.0036,-0.0036
2.0999999999999996,2.05,2.15,0.0573,0.0023,-0.0023,0.0024,-0.0024,0.0033,-0.0033
2.2,2.15,2.25,0.0521,0.0024,-0.0024,0.001,-0.001,0.0033,-0.0033
2.3,2.25,2.35,0.0449,0.0027,-0.0027,0.0074,-0.0074,0.0034,-0.0034
2.4000000000000004,2.35,2.45,0.0438,0.0023,-0.0023,0.0079,-0.0079,0.0029,-0.0029
2.5,2.45,2.55,0.0267,0.0015,-0.0015,0.0038,-0.0038,0.0024,-0.0024
2.5999999999999996,2.55,2.65,0.0231,0.0016,-0.0016,0.0019,-0.0019,0.0024,-0.0024
2.7,2.65,2.75,0.0151,0.0012,-0.0012,0.0026,-0.0026,0.0027,-0.0027
2.8,2.75,2.85,0.0147,0.0016,-0.0016,0.0054,-0.0054,0.0025,-0.0025
2.9000000000000004,2.85,2.95,0.01026,0.00091,-0.00091,0.00271,-0.00271,0.00202,-0.00202

