#: table_doi: 10.17182/hepdata.90831.v1/t454
#: name: table no 454
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_454.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,1.07,0.007,-0.007,0.208,-0.208,0.026,-0.026
0.23500000000000001,0.14,0.33,0.873,0.006,-0.006,0.027,-0.027,0.014,-0.014
0.43000000000000005,0.33,0.53,0.7736,0.0044,-0.0044,0.0256,-0.0256,0.0073,-0.0073
0.625,0.53,0.72,0.6055,0.0038,-0.0038,0.0346,-0.0346,0.0035,-0.0035
0.815,0.72,0.91,0.4645,0.0032,-0.0032,0.0311,-0.0311,0.0031,-0.0031
1.0050000000000001,0.91,1.1,0.3592,0.0026,-0.0026,0.0241,-0.0241,0.0039,-0.0039
1.195,1.1,1.29,0.2747,0.0021,-0.0021,0.017,-0.017,0.004,-0.004
1.385,1.29,1.48,0.2134,0.0018,-0.0018,0.0131,-0.0131,0.004,-0.004
1.575,1.48,1.67,0.1683,0.0016,-0.0016,0.0106,-0.0106,0.0038,-0.0038
1.7650000000000001,1.67,1.86,0.1346,0.0014,-0.0014,0.007,-0.007,0.0045,-0.0045
2.1,1.86,2.34,0.093,0.001,-0.001,0.005,-0.005,0.002,-0.002
2.5300000000000002,2.34,2.72,0.05605,0.00075,-0.00075,0.00244,-0.00244,0.00221,-0.00221
2.91,2.72,3.1,0.03538,0.00062,-0.00062,0.00095,-0.00095,0.00146,-0.00146
3.295,3.1,3.49,0.02302,0.00049,-0.00049,0.00022,-0.00022,0.00102,-0.00102
3.68,3.49,3.87,0.01501,0.00037,-0.00037,0.00079,-0.00079,0.00071,-0.00071
4.105,3.87,4.34,0.00952,0.00031,-0.00031,0.0003,-0.0003,0.00043,-0.00043
4.58,4.34,4.82,0.0063,0.00024,-0.00024,0.00027,-0.00027,0.00035,-0.00035
5.0600000000000005,4.82,5.3,0.00401,0.00018,-0.00018,5e-05,-5e-05,0.00024,-0.00024
5.54,5.3,5.78,0.00268,0.00016,-0.00016,0.00012,-0.00012,0.0002,-0.0002

