#: table_doi: 10.17182/hepdata.90831.v1/t29
#: name: table no 29
#: description: transmax region : low thrust ($T<0.75$) Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_29.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.1423,0.00095,-0.00095,0.00235,-0.00235,0.02204,-0.02204
15.0,10.0,20.0,1.2094,0.0012,-0.0012,0.0022,-0.0022,0.018,-0.018
30.0,20.0,40.0,1.2995,0.0017,-0.0017,0.0033,-0.0033,0.0252,-0.0252
50.0,40.0,60.0,1.4263,0.0039,-0.0039,0.0041,-0.0041,0.0043,-0.0043
70.0,60.0,80.0,1.5317,0.0066,-0.0066,0.0064,-0.0064,0.0118,-0.0118
100.0,80.0,120.0,1.722,0.011,-0.011,0.014,-0.014,0.021,-0.021
160.0,120.0,200.0,2.033,0.026,-0.026,0.028,-0.028,0.023,-0.023
350.0,200.0,500.0,2.27,0.07,-0.07,0.05,-0.05,0.09,-0.09

