#: table_doi: 10.17182/hepdata.90831.v1/t452
#: name: table no 452
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_452.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.371,0.018,-0.018,0.023,-0.023,0.013,-0.013
0.23500000000000001,0.14,0.33,0.36,0.018,-0.018,0.015,-0.015,0.012,-0.012
0.43000000000000005,0.33,0.53,0.439,0.018,-0.018,0.016,-0.016,0.011,-0.011
0.625,0.53,0.72,0.486,0.015,-0.015,0.016,-0.016,0.014,-0.014
0.815,0.72,0.91,0.451,0.015,-0.015,0.012,-0.012,0.01,-0.01
1.0050000000000001,0.91,1.1,0.389,0.014,-0.014,0.01,-0.01,0.008,-0.008
1.195,1.1,1.29,0.325,0.012,-0.012,0.009,-0.009,0.005,-0.005
1.385,1.29,1.48,0.311,0.011,-0.011,0.008,-0.008,0.006,-0.006
1.575,1.48,1.67,0.2639,0.0099,-0.0099,0.0078,-0.0078,0.0059,-0.0059
1.7650000000000001,1.67,1.86,0.2312,0.0089,-0.0089,0.0065,-0.0065,0.0057,-0.0057
2.1,1.86,2.34,0.1828,0.0063,-0.0063,0.0063,-0.0063,0.0022,-0.0022
2.5300000000000002,2.34,2.72,0.1382,0.0064,-0.0064,0.0038,-0.0038,0.0038,-0.0038
2.91,2.72,3.1,0.0867,0.0048,-0.0048,0.0027,-0.0027,0.0037,-0.0037
3.295,3.1,3.49,0.0617,0.0039,-0.0039,0.0018,-0.0018,0.0033,-0.0033
3.68,3.49,3.87,0.0668,0.0042,-0.0042,0.0038,-0.0038,0.0022,-0.0022
4.105,3.87,4.34,0.0445,0.0032,-0.0032,0.0023,-0.0023,0.0023,-0.0023
4.58,4.34,4.82,0.0285,0.0025,-0.0025,0.0009,-0.0009,0.0023,-0.0023
5.0600000000000005,4.82,5.3,0.018,0.002,-0.002,0.001,-0.001,0.002,-0.002
5.54,5.3,5.78,0.0153,0.0016,-0.0016,0.0004,-0.0004,0.0019,-0.0019

