#: table_doi: 10.17182/hepdata.90831.v1/t140
#: name: table no 140
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,transverse region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_140.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.184,0.013,-0.013,0.01,-0.01,0.015,-0.015
0.23500000000000001,0.14,0.33,0.278,0.013,-0.013,0.008,-0.008,0.012,-0.012
0.43000000000000005,0.33,0.53,0.333,0.013,-0.013,0.008,-0.008,0.01,-0.01
0.625,0.53,0.72,0.364,0.012,-0.012,0.007,-0.007,0.009,-0.009
0.815,0.72,0.91,0.34,0.01,-0.01,0.01,-0.01,0.01,-0.01
1.0050000000000001,0.91,1.1,0.321,0.011,-0.011,0.005,-0.005,0.007,-0.007
1.195,1.1,1.29,0.324,0.011,-0.011,0.004,-0.004,0.007,-0.007
1.385,1.29,1.48,0.3343,0.0097,-0.0097,0.0039,-0.0039,0.0072,-0.0072
1.575,1.48,1.67,0.2974,0.0096,-0.0096,0.0035,-0.0035,0.0072,-0.0072
1.7650000000000001,1.67,1.86,0.2406,0.0091,-0.0091,0.0035,-0.0035,0.0069,-0.0069
2.1,1.86,2.34,0.1999,0.0059,-0.0059,0.0027,-0.0027,0.0027,-0.0027
2.5300000000000002,2.34,2.72,0.1618,0.0056,-0.0056,0.0031,-0.0031,0.0035,-0.0035
2.91,2.72,3.1,0.1227,0.0052,-0.0052,0.0027,-0.0027,0.0038,-0.0038
3.295,3.1,3.49,0.0956,0.0045,-0.0045,0.0018,-0.0018,0.0039,-0.0039
3.68,3.49,3.87,0.0754,0.0035,-0.0035,0.0012,-0.0012,0.0033,-0.0033
4.105,3.87,4.34,0.064,0.0033,-0.0033,0.001,-0.001,0.0021,-0.0021
4.58,4.34,4.82,0.0449,0.0027,-0.0027,0.001,-0.001,0.0016,-0.0016
5.0600000000000005,4.82,5.3,0.0324,0.0022,-0.0022,0.0011,-0.0011,0.0015,-0.0015
5.54,5.3,5.78,0.0247,0.0018,-0.0018,0.0009,-0.0009,0.0016,-0.0016

