#: table_doi: 10.17182/hepdata.90831.v1/t320
#: name: table no 320
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_320.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0177,0.0015,-0.0015,0.0013,-0.0013,0.0027,-0.0027
0.23500000000000001,0.14,0.33,0.043,0.002,-0.002,0.002,-0.002,0.002,-0.002
0.43000000000000005,0.33,0.53,0.0855,0.0025,-0.0025,0.0073,-0.0073,0.0045,-0.0045
0.625,0.53,0.72,0.1273,0.0027,-0.0027,0.0022,-0.0022,0.0054,-0.0054
0.815,0.72,0.91,0.1756,0.0033,-0.0033,0.0063,-0.0063,0.0064,-0.0064
1.0050000000000001,0.91,1.1,0.2169,0.0034,-0.0034,0.0054,-0.0054,0.0059,-0.0059
1.195,1.1,1.29,0.2435,0.0033,-0.0033,0.0086,-0.0086,0.0059,-0.0059
1.385,1.29,1.48,0.2814,0.0034,-0.0034,0.0052,-0.0052,0.006,-0.006
1.575,1.48,1.67,0.3127,0.0035,-0.0035,0.005,-0.005,0.0069,-0.0069
1.7650000000000001,1.67,1.86,0.3322,0.0036,-0.0036,0.005,-0.005,0.0075,-0.0075
2.1,1.86,2.34,0.3282,0.0028,-0.0028,0.0064,-0.0064,0.0025,-0.0025
2.5300000000000002,2.34,2.72,0.2997,0.0027,-0.0027,0.009,-0.009,0.0029,-0.0029
2.91,2.72,3.1,0.2585,0.0026,-0.0026,0.0077,-0.0077,0.0032,-0.0032
3.295,3.1,3.49,0.2035,0.0022,-0.0022,0.0037,-0.0037,0.0039,-0.0039
3.68,3.49,3.87,0.1567,0.0018,-0.0018,0.0022,-0.0022,0.0042,-0.0042
4.105,3.87,4.34,0.1152,0.0016,-0.0016,0.0017,-0.0017,0.0032,-0.0032
4.58,4.34,4.82,0.0716,0.0012,-0.0012,0.0011,-0.0011,0.0032,-0.0032
5.0600000000000005,4.82,5.3,0.04505,0.00091,-0.00091,0.00172,-0.00172,0.00274,-0.00274
5.54,5.3,5.78,0.02728,0.00073,-0.00073,0.00069,-0.00069,0.002,-0.002

