#: table_doi: 10.17182/hepdata.90831.v1/t296
#: name: table no 296
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$20GeV<p_{T}^{Z}<40GeV$

#: data_file: table_no_296.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0216,0.0018,-0.0018,0.0023,-0.0023,0.0042,-0.0042
0.23500000000000001,0.14,0.33,0.088,0.003,-0.003,0.004,-0.004,0.005,-0.005
0.43000000000000005,0.33,0.53,0.204,0.0038,-0.0038,0.0062,-0.0062,0.0087,-0.0087
0.625,0.53,0.72,0.3138,0.0044,-0.0044,0.008,-0.008,0.0104,-0.0104
0.815,0.72,0.91,0.3965,0.0044,-0.0044,0.0028,-0.0028,0.0101,-0.0101
1.0050000000000001,0.91,1.1,0.4588,0.0048,-0.0048,0.0118,-0.0118,0.0089,-0.0089
1.195,1.1,1.29,0.4814,0.0046,-0.0046,0.004,-0.004,0.007,-0.007
1.385,1.29,1.48,0.454,0.004,-0.004,0.003,-0.003,0.005,-0.005
1.575,1.48,1.67,0.4105,0.0038,-0.0038,0.0043,-0.0043,0.0034,-0.0034
1.7650000000000001,1.67,1.86,0.3768,0.0038,-0.0038,0.0058,-0.0058,0.0041,-0.0041
2.1,1.86,2.34,0.3003,0.0026,-0.0026,0.0031,-0.0031,0.0026,-0.0026
2.5300000000000002,2.34,2.72,0.2123,0.0023,-0.0023,0.0095,-0.0095,0.0047,-0.0047
2.91,2.72,3.1,0.1442,0.0019,-0.0019,0.0049,-0.0049,0.0048,-0.0048
3.295,3.1,3.49,0.098,0.0016,-0.0016,0.0032,-0.0032,0.0042,-0.0042
3.68,3.49,3.87,0.0632,0.0011,-0.0011,0.0009,-0.0009,0.0031,-0.0031
4.105,3.87,4.34,0.03992,0.00089,-0.00089,0.00047,-0.00047,0.00181,-0.00181
4.58,4.34,4.82,0.0232,0.0007,-0.0007,0.0016,-0.0016,0.0013,-0.0013
5.0600000000000005,4.82,5.3,0.01374,0.00049,-0.00049,0.00172,-0.00172,0.0009,-0.0009
5.54,5.3,5.78,0.00903,0.00042,-0.00042,0.0002,-0.0002,0.00083,-0.00083

