#: table_doi: 10.17182/hepdata.90831.v1/t14
#: name: table no 14
#: description: transmax region : Mean of arithmetic mean of transverse momenta ($\langle mean p_{T} \rangle \pm stat. \pm syst.det.\pm syst.gen.[GeV]$) 

#: data_file: table_no_14.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle mean transverse momentum [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.1527,0.0008,-0.0008,0.0025,-0.0025,0.0214,-0.0214
15.0,10.0,20.0,1.2296,0.0011,-0.0011,0.0026,-0.0026,0.0198,-0.0198
30.0,20.0,40.0,1.333,0.0014,-0.0014,0.0037,-0.0037,0.0274,-0.0274
50.0,40.0,60.0,1.4397,0.0027,-0.0027,0.0037,-0.0037,0.0186,-0.0186
70.0,60.0,80.0,1.5231,0.0043,-0.0043,0.0061,-0.0061,0.0216,-0.0216
100.0,80.0,120.0,1.6104,0.0053,-0.0053,0.0044,-0.0044,0.0234,-0.0234
160.0,120.0,200.0,1.6884,0.0082,-0.0082,0.0049,-0.0049,0.0169,-0.0169
350.0,200.0,500.0,1.818,0.019,-0.019,0.008,-0.008,0.043,-0.043

