#: table_doi: 10.17182/hepdata.90831.v1/t324
#: name: table no 324
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_324.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0134,0.0089,-0.0089,0.0008,-0.0008,0.0086,-0.0086
0.23500000000000001,0.14,0.33,0.0185,0.0077,-0.0077,0.0028,-0.0028,0.0072,-0.0072
0.43000000000000005,0.33,0.53,0.0278,0.0088,-0.0088,0.0028,-0.0028,0.0072,-0.0072
0.625,0.53,0.72,0.042,0.013,-0.013,0.006,-0.006,0.006,-0.006
0.815,0.72,0.91,0.028,0.0095,-0.0095,0.0023,-0.0023,0.0071,-0.0071
1.0050000000000001,0.91,1.1,0.042,0.014,-0.014,0.006,-0.006,0.007,-0.007
1.195,1.1,1.29,0.05,0.013,-0.013,0.016,-0.016,0.008,-0.008
1.385,1.29,1.48,0.068,0.012,-0.012,0.013,-0.013,0.01,-0.01
1.575,1.48,1.67,0.072,0.014,-0.014,0.008,-0.008,0.012,-0.012
1.7650000000000001,1.67,1.86,0.0575,0.0089,-0.0089,0.0054,-0.0054,0.0179,-0.0179
2.1,1.86,2.34,0.08,0.013,-0.013,0.003,-0.003,0.008,-0.008
2.5300000000000002,2.34,2.72,0.0559,0.0085,-0.0085,0.0067,-0.0067,0.0094,-0.0094
2.91,2.72,3.1,0.061,0.008,-0.008,0.009,-0.009,0.008,-0.008
3.295,3.1,3.49,0.06,0.01,-0.01,0.01,-0.01,0.01,-0.01
3.68,3.49,3.87,0.0741,0.0092,-0.0092,0.0114,-0.0114,0.011,-0.011
4.105,3.87,4.34,0.101,0.013,-0.013,0.003,-0.003,0.01,-0.01
4.58,4.34,4.82,0.087,0.011,-0.011,0.005,-0.005,0.01,-0.01
5.0600000000000005,4.82,5.3,0.0924,0.0086,-0.0086,0.0246,-0.0246,0.0073,-0.0073
5.54,5.3,5.78,0.081,0.0085,-0.0085,0.0048,-0.0048,0.0091,-0.0091

