#: table_doi: 10.17182/hepdata.90831.v1/t131
#: name: table no 131
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,toward region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_131.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.348,0.011,-0.011,0.015,-0.015,0.016,-0.016
0.23500000000000001,0.14,0.33,0.414,0.011,-0.011,0.011,-0.011,0.012,-0.012
0.43000000000000005,0.33,0.53,0.45,0.01,-0.01,0.01,-0.01,0.01,-0.01
0.625,0.53,0.72,0.431,0.009,-0.009,0.008,-0.008,0.008,-0.008
0.815,0.72,0.91,0.419,0.0083,-0.0083,0.0072,-0.0072,0.006,-0.006
1.0050000000000001,0.91,1.1,0.4002,0.0082,-0.0082,0.0068,-0.0068,0.005,-0.005
1.195,1.1,1.29,0.3724,0.0074,-0.0074,0.0063,-0.0063,0.004,-0.004
1.385,1.29,1.48,0.3369,0.0066,-0.0066,0.0057,-0.0057,0.0036,-0.0036
1.575,1.48,1.67,0.2915,0.0066,-0.0066,0.0051,-0.0051,0.0037,-0.0037
1.7650000000000001,1.67,1.86,0.263,0.0064,-0.0064,0.0049,-0.0049,0.0045,-0.0045
2.1,1.86,2.34,0.2044,0.0042,-0.0042,0.0036,-0.0036,0.0023,-0.0023
2.5300000000000002,2.34,2.72,0.135,0.0038,-0.0038,0.0025,-0.0025,0.003,-0.003
2.91,2.72,3.1,0.0876,0.0031,-0.0031,0.0017,-0.0017,0.0028,-0.0028
3.295,3.1,3.49,0.0671,0.0026,-0.0026,0.0013,-0.0013,0.0026,-0.0026
3.68,3.49,3.87,0.0501,0.0024,-0.0024,0.0013,-0.0013,0.0024,-0.0024
4.105,3.87,4.34,0.043,0.0021,-0.0021,0.0011,-0.0011,0.0019,-0.0019
4.58,4.34,4.82,0.0259,0.0015,-0.0015,0.0009,-0.0009,0.0016,-0.0016
5.0600000000000005,4.82,5.3,0.016,0.0011,-0.0011,0.0008,-0.0008,0.0014,-0.0014
5.54,5.3,5.78,0.01257,0.00095,-0.00095,0.00095,-0.00095,0.0013,-0.0013

