#: table_doi: 10.17182/hepdata.90831.v1/t467
#: name: table no 467
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_467.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,0.825,0.013,-0.013,0.058,-0.058,0.018,-0.018
0.48,0.29,0.67,0.611,0.011,-0.011,0.037,-0.037,0.011,-0.011
0.8600000000000001,0.67,1.05,0.4705,0.0093,-0.0093,0.0281,-0.0281,0.0049,-0.0049
1.24,1.05,1.43,0.3065,0.0065,-0.0065,0.0205,-0.0205,0.0045,-0.0045
1.62,1.43,1.81,0.2003,0.0051,-0.0051,0.0177,-0.0177,0.0046,-0.0046
2.005,1.81,2.2,0.1274,0.0043,-0.0043,0.0147,-0.0147,0.005,-0.005
2.39,2.2,2.58,0.0784,0.0028,-0.0028,0.0094,-0.0094,0.0042,-0.0042
2.77,2.58,2.96,0.0506,0.0026,-0.0026,0.005,-0.005,0.0032,-0.0032
3.15,2.96,3.34,0.0332,0.0018,-0.0018,0.003,-0.003,0.0019,-0.0019
3.5300000000000002,3.34,3.72,0.0242,0.0017,-0.0017,0.0026,-0.0026,0.0021,-0.0021
4.2,3.72,4.68,0.01112,0.00091,-0.00091,0.00188,-0.00188,0.00073,-0.00073
5.0600000000000005,4.68,5.44,0.00841,0.00082,-0.00082,0.00069,-0.00069,0.00088,-0.00088

