#: table_doi: 10.17182/hepdata.90831.v1/t283
#: name: table no 283
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,low thrust(T<0.75),away region,$80GeV<p_{T}^{Z}<120GeV$

#: data_file: table_no_283.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.0025,0.0022,-0.0022,0.0014,-0.0014,0.0023,-0.0023
0.095,0.05,0.14,0.0073,0.0045,-0.0045,0.0041,-0.0041,0.0049,-0.0049
0.19,0.14,0.24,0.0109,0.0046,-0.0046,0.0118,-0.0118,0.0061,-0.0061
0.28500000000000003,0.24,0.33,0.0309,0.0087,-0.0087,0.0029,-0.0029,0.0085,-0.0085
0.38,0.33,0.43,0.066,0.015,-0.015,0.001,-0.001,0.012,-0.012
0.48,0.43,0.53,0.0543,0.0085,-0.0085,0.0029,-0.0029,0.0128,-0.0128
0.575,0.53,0.62,0.0483,0.0082,-0.0082,0.0013,-0.0013,0.0116,-0.0116
0.6699999999999999,0.62,0.72,0.105,0.013,-0.013,0.032,-0.032,0.01,-0.01
0.765,0.72,0.81,0.11,0.012,-0.012,0.002,-0.002,0.011,-0.011
0.8600000000000001,0.81,0.91,0.091,0.011,-0.011,0.008,-0.008,0.013,-0.013
0.9550000000000001,0.91,1.0,0.153,0.014,-0.014,0.033,-0.033,0.013,-0.013
1.05,1.0,1.1,0.146,0.014,-0.014,0.004,-0.004,0.015,-0.015
1.145,1.1,1.19,0.217,0.017,-0.017,0.009,-0.009,0.015,-0.015
1.24,1.19,1.29,0.224,0.014,-0.014,0.008,-0.008,0.015,-0.015
1.335,1.29,1.38,0.224,0.013,-0.013,0.007,-0.007,0.02,-0.02
1.43,1.38,1.48,0.27,0.018,-0.018,0.007,-0.007,0.022,-0.022
1.53,1.48,1.58,0.301,0.017,-0.017,0.011,-0.011,0.023,-0.023
1.625,1.58,1.67,0.368,0.019,-0.019,0.009,-0.009,0.019,-0.019
1.72,1.67,1.77,0.337,0.019,-0.019,0.022,-0.022,0.021,-0.021
1.815,1.77,1.86,0.409,0.019,-0.019,0.017,-0.017,0.024,-0.024
1.9100000000000001,1.86,1.96,0.382,0.019,-0.019,0.028,-0.028,0.024,-0.024
2.005,1.96,2.05,0.431,0.018,-0.018,0.018,-0.018,0.024,-0.024
2.0999999999999996,2.05,2.15,0.403,0.019,-0.019,0.009,-0.009,0.02,-0.02
2.1950000000000003,2.15,2.24,0.375,0.018,-0.018,0.009,-0.009,0.024,-0.024
2.29,2.24,2.34,0.376,0.018,-0.018,0.02,-0.02,0.019,-0.019
2.3899999999999997,2.34,2.44,0.286,0.013,-0.013,0.039,-0.039,0.018,-0.018
2.485,2.44,2.53,0.324,0.018,-0.018,0.008,-0.008,0.012,-0.012
2.58,2.53,2.63,0.288,0.014,-0.014,0.029,-0.029,0.014,-0.014
2.7249999999999996,2.63,2.82,0.339,0.015,-0.015,0.013,-0.013,0.01,-0.01
2.915,2.82,3.01,0.319,0.017,-0.017,0.019,-0.019,0.012,-0.012
3.105,3.01,3.2,0.288,0.014,-0.014,0.008,-0.008,0.014,-0.014
3.295,3.2,3.39,0.277,0.015,-0.015,0.015,-0.015,0.014,-0.014
3.4850000000000003,3.39,3.58,0.226,0.013,-0.013,0.022,-0.022,0.014,-0.014
3.725,3.58,3.87,0.1881,0.0098,-0.0098,0.005,-0.005,0.0112,-0.0112
4.105,3.87,4.34,0.1053,0.0079,-0.0079,0.0011,-0.0011,0.006,-0.006

