#: table_doi: 10.17182/hepdata.90831.v1/t465
#: name: table no 465
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transmin region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_465.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.145,0,0.29,1.0141,0.0085,-0.0085,0.077,-0.077,0.0193,-0.0193
0.48,0.29,0.67,0.6604,0.0069,-0.0069,0.0123,-0.0123,0.0117,-0.0117
0.8600000000000001,0.67,1.05,0.4452,0.0052,-0.0052,0.0112,-0.0112,0.0068,-0.0068
1.24,1.05,1.43,0.2727,0.0038,-0.0038,0.0199,-0.0199,0.0051,-0.0051
1.62,1.43,1.81,0.1636,0.0028,-0.0028,0.0175,-0.0175,0.004,-0.004
2.005,1.81,2.2,0.0959,0.0021,-0.0021,0.0108,-0.0108,0.003,-0.003
2.39,2.2,2.58,0.0573,0.0017,-0.0017,0.0051,-0.0051,0.0025,-0.0025
2.77,2.58,2.96,0.0389,0.0013,-0.0013,0.0025,-0.0025,0.0021,-0.0021
3.15,2.96,3.34,0.02352,0.00096,-0.00096,0.00142,-0.00142,0.00173,-0.00173
3.5300000000000002,3.34,3.72,0.0176,0.00085,-0.00085,0.00035,-0.00035,0.00203,-0.00203
4.2,3.72,4.68,0.01,0.00047,-0.00047,0.00017,-0.00017,0.00083,-0.00083
5.0600000000000005,4.68,5.44,0.00679,0.00047,-0.00047,0.00034,-0.00034,0.0009,-0.0009

