#: table_doi: 10.17182/hepdata.90831.v1/t375
#: name: table no 375
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_375.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.912,0.0027,-0.0027,0.0342,-0.0342,0.0027,-0.0027
0.6000000000000001,0.55,0.65,1.5442,0.0035,-0.0035,0.0242,-0.0242,0.0021,-0.0021
0.7,0.65,0.75,1.2309,0.0032,-0.0032,0.0189,-0.0189,0.0026,-0.0026
0.8,0.75,0.85,0.9947,0.0031,-0.0031,0.0087,-0.0087,0.0017,-0.0017
0.8999999999999999,0.85,0.95,0.804,0.003,-0.003,0.007,-0.007,0.002,-0.002
1.0,0.95,1.05,0.6649,0.0027,-0.0027,0.0067,-0.0067,0.0009,-0.0009
1.1,1.05,1.15,0.5427,0.0026,-0.0026,0.0046,-0.0046,0.0008,-0.0008
1.2,1.15,1.25,0.4526,0.0025,-0.0025,0.007,-0.007,0.0008,-0.0008
1.3,1.25,1.35,0.3744,0.0023,-0.0023,0.0031,-0.0031,0.0009,-0.0009
1.4,1.35,1.45,0.318,0.002,-0.002,0.004,-0.004,0.001,-0.001
1.5,1.45,1.55,0.263,0.002,-0.002,0.005,-0.005,0.001,-0.001
1.6,1.55,1.65,0.2228,0.0019,-0.0019,0.0039,-0.0039,0.0008,-0.0008
1.7,1.65,1.75,0.1934,0.0018,-0.0018,0.0038,-0.0038,0.0011,-0.0011
1.8,1.75,1.85,0.1667,0.0016,-0.0016,0.0044,-0.0044,0.0013,-0.0013
1.9,1.85,1.95,0.1381,0.0015,-0.0015,0.0021,-0.0021,0.0014,-0.0014
2.0,1.95,2.05,0.1191,0.0014,-0.0014,0.0033,-0.0033,0.001,-0.001
2.0999999999999996,2.05,2.15,0.1066,0.0013,-0.0013,0.0032,-0.0032,0.0009,-0.0009
2.2,2.15,2.25,0.0909,0.0012,-0.0012,0.0018,-0.0018,0.0005,-0.0005
2.3,2.25,2.35,0.079,0.0011,-0.0011,0.0027,-0.0027,0.0004,-0.0004
2.4000000000000004,2.35,2.45,0.0696,0.0011,-0.0011,0.0027,-0.0027,0.0003,-0.0003
2.5,2.45,2.55,0.06179,0.00096,-0.00096,0.00281,-0.00281,0.00034,-0.00034
2.5999999999999996,2.55,2.65,0.05488,0.00091,-0.00091,0.00252,-0.00252,0.0005,-0.0005
2.7,2.65,2.75,0.04631,0.00085,-0.00085,0.001,-0.001,0.00052,-0.00052
2.8,2.75,2.85,0.04328,0.00078,-0.00078,0.00207,-0.00207,0.0005,-0.0005
2.9000000000000004,2.85,2.95,0.03992,0.00073,-0.00073,0.00121,-0.00121,0.00045,-0.00045
3.0,2.95,3.05,0.03291,0.00068,-0.00068,0.00111,-0.00111,0.0004,-0.0004
3.0999999999999996,3.05,3.15,0.03051,0.00063,-0.00063,0.0005,-0.0005,0.00042,-0.00042
3.2,3.15,3.25,0.02882,0.00063,-0.00063,0.00188,-0.00188,0.00027,-0.00027
3.3,3.25,3.35,0.02477,0.00053,-0.00053,0.00144,-0.00144,0.0003,-0.0003
3.4000000000000004,3.35,3.45,0.02328,0.00056,-0.00056,0.00019,-0.00019,0.00033,-0.00033
3.5,3.45,3.55,0.02086,0.00053,-0.00053,0.001,-0.001,0.00033,-0.00033
3.5999999999999996,3.55,3.65,0.01735,0.00046,-0.00046,0.00199,-0.00199,0.00026,-0.00026
3.7,3.65,3.75,0.01708,0.00047,-0.00047,0.0004,-0.0004,0.00023,-0.00023
3.8,3.75,3.85,0.01581,0.00045,-0.00045,0.0007,-0.0007,0.00022,-0.00022
3.9000000000000004,3.85,3.95,0.01507,0.00041,-0.00041,0.00075,-0.00075,0.00021,-0.00021
4.0,3.95,4.05,0.0133,0.0004,-0.0004,0.0013,-0.0013,0.0002,-0.0002
4.1,4.05,4.15,0.01207,0.00034,-0.00034,0.00089,-0.00089,0.00021,-0.00021
4.2,4.15,4.25,0.01103,0.00033,-0.00033,0.00089,-0.00089,0.00022,-0.00022
4.3,4.25,4.35,0.01075,0.00036,-0.00036,6e-05,-6e-05,0.00016,-0.00016
4.4,4.35,4.45,0.00907,0.00031,-0.00031,0.0006,-0.0006,0.00018,-0.00018
4.5,4.45,4.55,0.0094,0.0003,-0.0003,0.0007,-0.0007,0.0002,-0.0002
4.6,4.55,4.65,0.00853,0.00028,-0.00028,0.00091,-0.00091,0.0002,-0.0002
4.7,4.65,4.75,0.00789,0.00027,-0.00027,0.00033,-0.00033,0.00029,-0.00029
4.8,4.75,4.85,0.00731,0.00027,-0.00027,0.00045,-0.00045,0.00025,-0.00025
4.9,4.85,4.95,0.00635,0.00024,-0.00024,0.00037,-0.00037,0.00022,-0.00022
5.0,4.95,5.05,0.00586,0.00023,-0.00023,0.00039,-0.00039,8e-05,-8e-05
5.1,5.05,5.15,0.00623,0.00024,-0.00024,0.00027,-0.00027,8e-05,-8e-05
5.2,5.15,5.25,0.00526,0.00019,-0.00019,0.00106,-0.00106,0.00012,-0.00012
5.3,5.25,5.35,0.00563,0.00022,-0.00022,0.00033,-0.00033,0.00014,-0.00014
5.4,5.35,5.45,0.0047,0.00021,-0.00021,0.00013,-0.00013,0.00014,-0.00014

