#: table_doi: 10.17182/hepdata.90831.v1/t398
#: name: table no 398
#: description: $\frac{1}{N_{ch}} \frac{dN_{ch}}{dp_{T}}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),away region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_398.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$p_{T}$ [GeV],Bin limits$p_{T}$ [GeV] LOW,Bin limits$p_{T}$ [GeV] HIGH,$1/N_{ch} dN_{ch}/d(p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.9005,0.0022,-0.0022,0.0117,-0.0117,0.0024,-0.0024
0.6000000000000001,0.55,0.65,1.5372,0.0031,-0.0031,0.013,-0.013,0.0022,-0.0022
0.7,0.65,0.75,1.2352,0.0027,-0.0027,0.0102,-0.0102,0.0018,-0.0018
0.8,0.75,0.85,1.002,0.0026,-0.0026,0.008,-0.008,0.0011,-0.0011
0.8999999999999999,0.85,0.95,0.8205,0.0023,-0.0023,0.0064,-0.0064,0.0008,-0.0008
1.0,0.95,1.05,0.6607,0.0022,-0.0022,0.0053,-0.0053,0.0007,-0.0007
1.1,1.05,1.15,0.5569,0.0021,-0.0021,0.0044,-0.0044,0.0006,-0.0006
1.2,1.15,1.25,0.457,0.002,-0.002,0.004,-0.004,0.001,-0.001
1.3,1.25,1.35,0.3809,0.0019,-0.0019,0.0032,-0.0032,0.0008,-0.0008
1.4,1.35,1.45,0.3257,0.0017,-0.0017,0.003,-0.003,0.0009,-0.0009
1.5,1.45,1.55,0.274,0.0016,-0.0016,0.0022,-0.0022,0.0011,-0.0011
1.6,1.55,1.65,0.2293,0.0015,-0.0015,0.0028,-0.0028,0.0009,-0.0009
1.7,1.65,1.75,0.1949,0.0014,-0.0014,0.0017,-0.0017,0.0008,-0.0008
1.8,1.75,1.85,0.1663,0.0014,-0.0014,0.0015,-0.0015,0.0005,-0.0005
1.9,1.85,1.95,0.1435,0.0012,-0.0012,0.0016,-0.0016,0.0005,-0.0005
2.0,1.95,2.05,0.1241,0.0011,-0.0011,0.0013,-0.0013,0.0005,-0.0005
2.0999999999999996,2.05,2.15,0.1072,0.0011,-0.0011,0.0016,-0.0016,0.0004,-0.0004
2.2,2.15,2.25,0.09,0.001,-0.001,0.001,-0.001,0,0
2.3,2.25,2.35,0.0807,0.0009,-0.0009,0.0007,-0.0007,0.0003,-0.0003
2.4000000000000004,2.35,2.45,0.07005,0.00084,-0.00084,0.00095,-0.00095,0.00033,-0.00033
2.5,2.45,2.55,0.06057,0.00079,-0.00079,0.00072,-0.00072,0.0002,-0.0002
2.5999999999999996,2.55,2.65,0.05368,0.00069,-0.00069,0.0008,-0.0008,0.00025,-0.00025
2.7,2.65,2.75,0.04885,0.00065,-0.00065,0.00044,-0.00044,0.00028,-0.00028
2.8,2.75,2.85,0.04282,0.00064,-0.00064,0.00057,-0.00057,0.0003,-0.0003
2.9000000000000004,2.85,2.95,0.03731,0.00057,-0.00057,0.0003,-0.0003,0.00024,-0.00024
3.0,2.95,3.05,0.0344,0.00054,-0.00054,0.00047,-0.00047,0.0002,-0.0002
3.0999999999999996,3.05,3.15,0.02931,0.00051,-0.00051,0.00021,-0.00021,0.0002,-0.0002
3.2,3.15,3.25,0.02627,0.00043,-0.00043,0.00025,-0.00025,0.0002,-0.0002
3.3,3.25,3.35,0.02431,0.00044,-0.00044,0.00037,-0.00037,0.00019,-0.00019
3.4000000000000004,3.35,3.45,0.02298,0.00042,-0.00042,0.00036,-0.00036,0.00017,-0.00017
3.5,3.45,3.55,0.01997,0.00039,-0.00039,0.00023,-0.00023,0.00017,-0.00017
3.5999999999999996,3.55,3.65,0.01746,0.00036,-0.00036,0.0002,-0.0002,0.00019,-0.00019
3.7,3.65,3.75,0.01616,0.00035,-0.00035,0.0002,-0.0002,0.00017,-0.00017
3.8,3.75,3.85,0.01395,0.00031,-0.00031,0.00024,-0.00024,0.00014,-0.00014
3.9000000000000004,3.85,3.95,0.0129,0.0003,-0.0003,0.0002,-0.0002,0.0001,-0.0001
4.0,3.95,4.05,0.0127,0.0003,-0.0003,0.0001,-0.0001,0.0001,-0.0001
4.1,4.05,4.15,0.01114,0.00026,-0.00026,0.00047,-0.00047,0.00011,-0.00011
4.2,4.15,4.25,0.00971,0.00027,-0.00027,0.0001,-0.0001,0.00011,-0.00011
4.3,4.25,4.35,0.00882,0.00024,-0.00024,0.00014,-0.00014,0.0001,-0.0001
4.4,4.35,4.45,0.00845,0.00024,-0.00024,0.00015,-0.00015,0.0001,-0.0001
4.5,4.45,4.55,0.00782,0.00022,-0.00022,5e-05,-5e-05,9e-05,-9e-05
4.6,4.55,4.65,0.0075,0.0002,-0.0002,0.0002,-0.0002,0.0001,-0.0001
4.7,4.65,4.75,0.0067,0.0002,-0.0002,0.0001,-0.0001,0.0001,-0.0001
4.8,4.75,4.85,0.0062,0.0002,-0.0002,0,0,0.0001,-0.0001
4.9,4.85,4.95,0.00537,0.00018,-0.00018,0.00016,-0.00016,9e-05,-9e-05
5.0,4.95,5.05,0.0054,0.00018,-0.00018,3e-05,-3e-05,0.0001,-0.0001
5.1,5.05,5.15,0.00525,0.00017,-0.00017,0.00012,-0.00012,0.00011,-0.00011
5.2,5.15,5.25,0.00461,0.00016,-0.00016,3e-05,-3e-05,0.00011,-0.00011
5.3,5.25,5.35,0.00424,0.00017,-0.00017,0.00011,-0.00011,9e-05,-9e-05
5.4,5.35,5.45,0.00417,0.00015,-0.00015,0.00026,-0.00026,8e-05,-8e-05

