#: table_doi: 10.17182/hepdata.90831.v1/t301
#: name: table no 301
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$200GeV<p_{T}^{Z}<500GeV$

#: data_file: table_no_301.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0,0,0,0.004995,-0.004995,0,0
0.23500000000000001,0.14,0.33,0,0,0,0.005917,-0.005917,0.012889,-0.012889
0.43000000000000005,0.33,0.53,0.122,0.048,-0.048,0.009,-0.009,0.029,-0.029
0.625,0.53,0.72,0.106,0.052,-0.052,0.011,-0.011,0.037,-0.037
0.815,0.72,0.91,0.014,0.023,-0.023,0.017,-0.017,0.035,-0.035
1.0050000000000001,0.91,1.1,0.032,0.022,-0.022,0.039,-0.039,0.042,-0.042
1.195,1.1,1.29,0.078,0.051,-0.051,0.009,-0.009,0.062,-0.062
1.385,1.29,1.48,0.18,0.065,-0.065,0.101,-0.101,0.06,-0.06
1.575,1.48,1.67,0.03,0.02,-0.02,0.07,-0.07,0.05,-0.05
1.7650000000000001,1.67,1.86,0.09,0.047,-0.047,0.091,-0.091,0.038,-0.038
2.1,1.86,2.34,0.124,0.033,-0.033,0.088,-0.088,0.019,-0.019
2.5300000000000002,2.34,2.72,0.216,0.054,-0.054,0.04,-0.04,0.019,-0.019
2.91,2.72,3.1,0.055,0.018,-0.018,0.062,-0.062,0.019,-0.019
3.295,3.1,3.49,0.076,0.026,-0.026,0.04,-0.04,0.025,-0.025
3.68,3.49,3.87,0.17,0.05,-0.05,0.01,-0.01,0.03,-0.03
4.105,3.87,4.34,0.14,0.03,-0.03,0,0,0.04,-0.04
4.58,4.34,4.82,0.214,0.039,-0.039,0.063,-0.063,0.041,-0.041
5.0600000000000005,4.82,5.3,0.167,0.042,-0.042,0.01,-0.01,0.039,-0.039
5.54,5.3,5.78,0.074,0.021,-0.021,0.049,-0.049,0.046,-0.046

