#: table_doi: 10.17182/hepdata.90831.v1/t10
#: name: table no 10
#: description: away region: Mean charged particle multiplicity ($\langle N_{ch} \rangle \pm stat. \pm syst.det. \pm syst.gen.$)

#: data_file: table_no_10.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle multiplcity / $\delta\eta\delta\phi$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.0626,0.00097,-0.00097,0.02478,-0.02478,0.00024,-0.00024
15.0,10.0,20.0,1.303,0.0014,-0.0014,0.0257,-0.0257,0,0
30.0,20.0,40.0,1.5608,0.0016,-0.0016,0.0279,-0.0279,0.0013,-0.0013
50.0,40.0,60.0,1.8289,0.0028,-0.0028,0.0308,-0.0308,0.004,-0.004
70.0,60.0,80.0,2.0265,0.0047,-0.0047,0.0331,-0.0331,0.0062,-0.0062
100.0,80.0,120.0,2.2384,0.0052,-0.0052,0.0371,-0.0371,0.0053,-0.0053
160.0,120.0,200.0,2.5456,0.0089,-0.0089,0.0393,-0.0393,0.0036,-0.0036
350.0,200.0,500.0,2.981,0.019,-0.019,0.041,-0.041,0.019,-0.019

