#: table_doi: 10.17182/hepdata.90831.v1/t289
#: name: table no 289
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),toward region,$40GeV<p_{T}^{Z}<60GeV$

#: data_file: table_no_289.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.1434,0.0083,-0.0083,0.0084,-0.0084,0.0103,-0.0103
0.23500000000000001,0.14,0.33,0.2231,0.0085,-0.0085,0.0092,-0.0092,0.009,-0.009
0.43000000000000005,0.33,0.53,0.3483,0.0096,-0.0096,0.0103,-0.0103,0.0104,-0.0104
0.625,0.53,0.72,0.4097,0.0092,-0.0092,0.0132,-0.0132,0.0109,-0.0109
0.815,0.72,0.91,0.438,0.009,-0.009,0.01,-0.01,0.009,-0.009
1.0050000000000001,0.91,1.1,0.4409,0.0089,-0.0089,0.0164,-0.0164,0.0061,-0.0061
1.195,1.1,1.29,0.4417,0.0086,-0.0086,0.0079,-0.0079,0.0053,-0.0053
1.385,1.29,1.48,0.4195,0.0082,-0.0082,0.0151,-0.0151,0.0053,-0.0053
1.575,1.48,1.67,0.3766,0.0077,-0.0077,0.006,-0.006,0.0058,-0.0058
1.7650000000000001,1.67,1.86,0.3131,0.0068,-0.0068,0.006,-0.006,0.005,-0.005
2.1,1.86,2.34,0.2497,0.0046,-0.0046,0.0043,-0.0043,0.0025,-0.0025
2.5300000000000002,2.34,2.72,0.1741,0.0043,-0.0043,0.0025,-0.0025,0.0042,-0.0042
2.91,2.72,3.1,0.1288,0.0038,-0.0038,0.0022,-0.0022,0.0049,-0.0049
3.295,3.1,3.49,0.092,0.003,-0.003,0.002,-0.002,0.004,-0.004
3.68,3.49,3.87,0.0506,0.0023,-0.0023,0.0034,-0.0034,0.0037,-0.0037
4.105,3.87,4.34,0.0325,0.0018,-0.0018,0.0007,-0.0007,0.0021,-0.0021
4.58,4.34,4.82,0.01642,0.00098,-0.00098,0.00246,-0.00246,0.002,-0.002
5.0600000000000005,4.82,5.3,0.01211,0.00085,-0.00085,0.00203,-0.00203,0.0012,-0.0012
5.54,5.3,5.78,0.00765,0.00083,-0.00083,0.00065,-0.00065,0.00128,-0.00128

