#: table_doi: 10.17182/hepdata.90831.v1/t1
#: name: table no 1
#: description: Figure 09d,  mean sumPt toward, toward region : Mean sum of transverse momenta ($\langle \Sigma p_{T} \rangle \pm stat. \pm syst.det. \pm syst.gen.[GeV]$) 

#: data_file: table_no_1.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits  [GeV],Bin limits  [GeV] LOW,Bin limits  [GeV] HIGH,Arithmetic mean charged-particle scalar sum of transverse momemtum / $\delta\eta\delta\phi$ [GeV],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
5.0,0,10.0,1.0401,0.0013,-0.0013,0.0225,-0.0225,0.0034,-0.0034
15.0,10.0,20.0,1.1434,0.0017,-0.0017,0.0227,-0.0227,0.0149,-0.0149
30.0,20.0,40.0,1.2762,0.0023,-0.0023,0.0253,-0.0253,0.0116,-0.0116
50.0,40.0,60.0,1.4341,0.0054,-0.0054,0.0578,-0.0578,0.0297,-0.0297
70.0,60.0,80.0,1.5569,0.0089,-0.0089,0.0244,-0.0244,0.0416,-0.0416
100.0,80.0,120.0,1.6412,0.0093,-0.0093,0.0294,-0.0294,0.0358,-0.0358
160.0,120.0,200.0,1.871,0.018,-0.018,0.027,-0.027,0.117,-0.117
350.0,200.0,500.0,2.334,0.043,-0.043,0.043,-0.043,0.028,-0.028

