#: table_doi: 10.17182/hepdata.90831.v1/t318
#: name: table no 318
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),away region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_318.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0999,0.0023,-0.0023,0.0049,-0.0049,0.0099,-0.0099
0.23500000000000001,0.14,0.33,0.254,0.003,-0.003,0.01,-0.01,0.009,-0.009
0.43000000000000005,0.33,0.53,0.3977,0.0031,-0.0031,0.001,-0.001,0.0117,-0.0117
0.625,0.53,0.72,0.4871,0.0032,-0.0032,0.0031,-0.0031,0.0108,-0.0108
0.815,0.72,0.91,0.5215,0.0031,-0.0031,0.004,-0.004,0.0089,-0.0089
1.0050000000000001,0.91,1.1,0.51,0.0029,-0.0029,0.0017,-0.0017,0.006,-0.006
1.195,1.1,1.29,0.4725,0.0026,-0.0026,0.0008,-0.0008,0.0039,-0.0039
1.385,1.29,1.48,0.4323,0.0024,-0.0024,0.0027,-0.0027,0.0027,-0.0027
1.575,1.48,1.67,0.3811,0.0022,-0.0022,0.0016,-0.0016,0.0036,-0.0036
1.7650000000000001,1.67,1.86,0.33,0.002,-0.002,0.003,-0.003,0.007,-0.007
2.1,1.86,2.34,0.2408,0.0014,-0.0014,0.0028,-0.0028,0.0035,-0.0035
2.5300000000000002,2.34,2.72,0.1494,0.0011,-0.0011,0.0026,-0.0026,0.005,-0.005
2.91,2.72,3.1,0.09406,0.00092,-0.00092,0.0018,-0.0018,0.00397,-0.00397
3.295,3.1,3.49,0.05765,0.00071,-0.00071,0.0002,-0.0002,0.00321,-0.00321
3.68,3.49,3.87,0.03527,0.00053,-0.00053,0.00021,-0.00021,0.00238,-0.00238
4.105,3.87,4.34,0.01924,0.00037,-0.00037,0.00059,-0.00059,0.00136,-0.00136
4.58,4.34,4.82,0.01016,0.00028,-0.00028,0.00056,-0.00056,0.00095,-0.00095
5.0600000000000005,4.82,5.3,0.0051,0.0002,-0.0002,0.0002,-0.0002,0.0006,-0.0006
5.54,5.3,5.78,0.00265,0.00016,-0.00016,0.00024,-0.00024,0.00036,-0.00036

