#: table_doi: 10.17182/hepdata.90831.v1/t158
#: name: table no 158
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,away region,$0GeV<p_{T}^{Z}<10GeV$

#: data_file: table_no_158.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.3565,0.0028,-0.0028,0.0015,-0.0015,0.018,-0.018
0.23500000000000001,0.14,0.33,0.4543,0.0028,-0.0028,0.0012,-0.0012,0.013,-0.013
0.43000000000000005,0.33,0.53,0.5482,0.0025,-0.0025,0.0013,-0.0013,0.0112,-0.0112
0.625,0.53,0.72,0.5617,0.0024,-0.0024,0.0013,-0.0013,0.0084,-0.0084
0.815,0.72,0.91,0.5317,0.0022,-0.0022,0.0014,-0.0014,0.0052,-0.0052
1.0050000000000001,0.91,1.1,0.48,0.002,-0.002,0.001,-0.001,0.003,-0.003
1.195,1.1,1.29,0.4222,0.0017,-0.0017,0.0011,-0.0011,0.0022,-0.0022
1.385,1.29,1.48,0.3667,0.0016,-0.0016,0.0011,-0.0011,0.0027,-0.0027
1.575,1.48,1.67,0.3109,0.0015,-0.0015,0.0011,-0.0011,0.0044,-0.0044
1.7650000000000001,1.67,1.86,0.2598,0.0013,-0.0013,0.0012,-0.0012,0.0064,-0.0064
2.1,1.86,2.34,0.18337,0.00096,-0.00096,0.00065,-0.00065,0.00322,-0.00322
2.5300000000000002,2.34,2.72,0.11098,0.00073,-0.00073,0.0009,-0.0009,0.00398,-0.00398
2.91,2.72,3.1,0.06897,0.00061,-0.00061,0.00094,-0.00094,0.00346,-0.00346
3.295,3.1,3.49,0.04187,0.00048,-0.00048,0.0008,-0.0008,0.00261,-0.00261
3.68,3.49,3.87,0.0255,0.00036,-0.00036,0.00055,-0.00055,0.00194,-0.00194
4.105,3.87,4.34,0.01427,0.00026,-0.00026,0.0003,-0.0003,0.00109,-0.00109
4.58,4.34,4.82,0.00774,0.00021,-0.00021,0.00022,-0.00022,0.00072,-0.00072
5.0600000000000005,4.82,5.3,0.00413,0.00015,-0.00015,0.00019,-0.00019,0.00046,-0.00046
5.54,5.3,5.78,0.00236,0.00013,-0.00013,0.00016,-0.00016,0.00029,-0.00029

