#: table_doi: 10.17182/hepdata.90831.v1/t458
#: name: table no 458
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75=<T),transverse region,$60GeV<p_{T}^{Z}<80GeV$

#: data_file: table_no_458.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.316,0.012,-0.012,0.037,-0.037,0.014,-0.014
0.23500000000000001,0.14,0.33,0.399,0.013,-0.013,0.03,-0.03,0.011,-0.011
0.43000000000000005,0.33,0.53,0.486,0.012,-0.012,0.03,-0.03,0.01,-0.01
0.625,0.53,0.72,0.503,0.011,-0.011,0.022,-0.022,0.008,-0.008
0.815,0.72,0.91,0.4769,0.0093,-0.0093,0.015,-0.015,0.0057,-0.0057
1.0050000000000001,0.91,1.1,0.4425,0.0091,-0.0091,0.0141,-0.0141,0.0046,-0.0046
1.195,1.1,1.29,0.4,0.008,-0.008,0.008,-0.008,0.005,-0.005
1.385,1.29,1.48,0.343,0.0074,-0.0074,0.0068,-0.0068,0.0054,-0.0054
1.575,1.48,1.67,0.289,0.007,-0.007,0.008,-0.008,0.005,-0.005
1.7650000000000001,1.67,1.86,0.242,0.0062,-0.0062,0.0089,-0.0089,0.007,-0.007
2.1,1.86,2.34,0.17,0.0041,-0.0041,0.0142,-0.0142,0.0027,-0.0027
2.5300000000000002,2.34,2.72,0.1018,0.0034,-0.0034,0.0117,-0.0117,0.0035,-0.0035
2.91,2.72,3.1,0.0814,0.0031,-0.0031,0.0067,-0.0067,0.0023,-0.0023
3.295,3.1,3.49,0.0584,0.0025,-0.0025,0.0028,-0.0028,0.002,-0.002
3.68,3.49,3.87,0.0412,0.0022,-0.0022,0.0021,-0.0021,0.0016,-0.0016
4.105,3.87,4.34,0.0337,0.0018,-0.0018,0.001,-0.001,0.0012,-0.0012
4.58,4.34,4.82,0.022,0.0015,-0.0015,0.0007,-0.0007,0.0011,-0.0011
5.0600000000000005,4.82,5.3,0.0157,0.0012,-0.0012,0.0019,-0.0019,0.001,-0.001
5.54,5.3,5.78,0.01414,0.00091,-0.00091,0.00143,-0.00143,0.00098,-0.00098

