#: table_doi: 10.17182/hepdata.90831.v1/t412
#: name: table no 412
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{dN_{ch}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.$,high thrust (0.75<=T$),toward region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_412.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$N_{ch}/(\delta\eta\delta\phi)$,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ LOW,Bin limits$N_{ch}/(\delta\eta\delta\phi)$ HIGH,$1/N_{ev} dN_{ev}/d(N_{ch}/\delta\eta\delta\phi)$,statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.0,-0.05,0.05,0.191,0.018,-0.018,0.016,-0.016,0.015,-0.015
0.095,0.05,0.14,0.283,0.022,-0.022,0.014,-0.014,0.013,-0.013
0.19,0.14,0.24,0.356,0.022,-0.022,0.01,-0.01,0.013,-0.013
0.28500000000000003,0.24,0.33,0.41,0.02,-0.02,0.01,-0.01,0.01,-0.01
0.38,0.33,0.43,0.488,0.021,-0.021,0.005,-0.005,0.015,-0.015
0.48,0.43,0.53,0.55,0.02,-0.02,0.01,-0.01,0.02,-0.02
0.575,0.53,0.62,0.58,0.021,-0.021,0.017,-0.017,0.015,-0.015
0.6699999999999999,0.62,0.72,0.59,0.02,-0.02,0.01,-0.01,0.01,-0.01
0.765,0.72,0.81,0.58,0.021,-0.021,0.01,-0.01,0.01,-0.01
0.8600000000000001,0.81,0.91,0.549,0.018,-0.018,0.006,-0.006,0.009,-0.009
0.9550000000000001,0.91,1.0,0.522,0.016,-0.016,0.02,-0.02,0.009,-0.009
1.05,1.0,1.1,0.51,0.014,-0.014,0.011,-0.011,0.01,-0.01
1.145,1.1,1.19,0.459,0.015,-0.015,0.008,-0.008,0.01,-0.01
1.24,1.19,1.29,0.436,0.014,-0.014,0.01,-0.01,0.011,-0.011
1.335,1.29,1.38,0.401,0.013,-0.013,0.012,-0.012,0.009,-0.009
1.43,1.38,1.48,0.37,0.013,-0.013,0.007,-0.007,0.009,-0.009
1.53,1.48,1.58,0.355,0.014,-0.014,0.004,-0.004,0.01,-0.01
1.625,1.58,1.67,0.323,0.012,-0.012,0.011,-0.011,0.011,-0.011
1.72,1.67,1.77,0.291,0.011,-0.011,0.014,-0.014,0.01,-0.01
1.815,1.77,1.86,0.297,0.011,-0.011,0.006,-0.006,0.009,-0.009
1.9100000000000001,1.86,1.96,0.2507,0.0097,-0.0097,0.0055,-0.0055,0.0105,-0.0105
2.005,1.96,2.05,0.227,0.011,-0.011,0.009,-0.009,0.011,-0.011
2.0999999999999996,2.05,2.15,0.182,0.0083,-0.0083,0.0052,-0.0052,0.0107,-0.0107
2.1950000000000003,2.15,2.24,0.1865,0.0091,-0.0091,0.0036,-0.0036,0.0092,-0.0092
2.29,2.24,2.34,0.1491,0.0074,-0.0074,0.0093,-0.0093,0.0103,-0.0103
2.3899999999999997,2.34,2.44,0.1247,0.0058,-0.0058,0.0016,-0.0016,0.0093,-0.0093
2.485,2.44,2.53,0.118,0.008,-0.008,0.004,-0.004,0.007,-0.007
2.58,2.53,2.63,0.0816,0.0056,-0.0056,0.0059,-0.0059,0.0049,-0.0049
2.7249999999999996,2.63,2.82,0.074,0.005,-0.005,0.003,-0.003,0.003,-0.003
2.915,2.82,3.01,0.055,0.005,-0.005,0.001,-0.001,0.006,-0.006
3.105,3.01,3.2,0.0651,0.0069,-0.0069,0.0027,-0.0027,0.0055,-0.0055
3.295,3.2,3.39,0.0308,0.0032,-0.0032,0.006,-0.006,0.0053,-0.0053
3.4850000000000003,3.39,3.58,0.0272,0.0035,-0.0035,0.0004,-0.0004,0.0028,-0.0028
3.725,3.58,3.87,0.0129,0.0021,-0.0021,0.001,-0.001,0.0021,-0.0021
4.105,3.87,4.34,0.0063,0.0013,-0.0013,0.0012,-0.0012,0.0011,-0.0011

