#: table_doi: 10.17182/hepdata.90831.v1/t295
#: name: table no 295
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d\Sigma p_{t}/\delta\eta\delta\phi}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,low thrust(T<0.75),transverse region,$10GeV<p_{T}^{Z}<20GeV$

#: data_file: table_no_295.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV],Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] LOW,Bin limits$\Sigma p_{T}/(\delta\eta\delta\phi)$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(\Sigma p_{T}/\delta\eta\delta\phi)$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.07,0,0.14,0.0485,0.0021,-0.0021,0.0063,-0.0063,0.0069,-0.0069
0.23500000000000001,0.14,0.33,0.1804,0.0032,-0.0032,0.0072,-0.0072,0.0078,-0.0078
0.43000000000000005,0.33,0.53,0.3399,0.0038,-0.0038,0.0091,-0.0091,0.0116,-0.0116
0.625,0.53,0.72,0.474,0.004,-0.004,0.008,-0.008,0.012,-0.012
0.815,0.72,0.91,0.5148,0.0037,-0.0037,0.0097,-0.0097,0.0102,-0.0102
1.0050000000000001,0.91,1.1,0.5153,0.0036,-0.0036,0.012,-0.012,0.0068,-0.0068
1.195,1.1,1.29,0.4934,0.0035,-0.0035,0.0021,-0.0021,0.0039,-0.0039
1.385,1.29,1.48,0.4488,0.0033,-0.0033,0.0108,-0.0108,0.0027,-0.0027
1.575,1.48,1.67,0.3974,0.0031,-0.0031,0.0035,-0.0035,0.0034,-0.0034
1.7650000000000001,1.67,1.86,0.335,0.0028,-0.0028,0.0088,-0.0088,0.0066,-0.0066
2.1,1.86,2.34,0.247,0.002,-0.002,0.011,-0.011,0.003,-0.003
2.5300000000000002,2.34,2.72,0.1609,0.0017,-0.0017,0.0057,-0.0057,0.0049,-0.0049
2.91,2.72,3.1,0.1062,0.0013,-0.0013,0.0027,-0.0027,0.0042,-0.0042
3.295,3.1,3.49,0.06412,0.00095,-0.00095,0.00132,-0.00132,0.00325,-0.00325
3.68,3.49,3.87,0.03951,0.00072,-0.00072,0.00125,-0.00125,0.00236,-0.00236
4.105,3.87,4.34,0.02551,0.00058,-0.00058,0.00119,-0.00119,0.00133,-0.00133
4.58,4.34,4.82,0.01428,0.00042,-0.00042,0.00093,-0.00093,0.00107,-0.00107
5.0600000000000005,4.82,5.3,0.00833,0.00033,-0.00033,0.00111,-0.00111,0.0007,-0.0007
5.54,5.3,5.78,0.0039,0.0002,-0.0002,0.0005,-0.0005,0.0004,-0.0004

