#: table_doi: 10.17182/hepdata.90831.v1/t524
#: name: table no 524
#: description: $\frac{1}{N_{ev}} \frac{dN_{ev}}{d(mean p_{T})}\pm stat.\pm syst.gen.\pm syst.det.[GeV^{-1}]$,high thrust (0.75<=T),away region,$120GeV<p_{T}^{Z}<200GeV$

#: data_file: table_no_524.yaml
#: keyword reactions: P P --> Z0 --> MU+MU- | Drell-Yan
#: keyword cmenergies: 13000
#: keyword observables: Underyling event
Bin limits$mean p_{T}$ [GeV],Bin limits$mean p_{T}$ [GeV] LOW,Bin limits$mean p_{T}$ [GeV] HIGH,$1/N_{ev} dN_{ev}/d(mean p_{T})$ [$GeV^{-1}$],statistical uncertainty +,statistical uncertainty -,detector related uncertainty +,detector related uncertainty -,generator related uncertainty +,generator related uncertainty -
0.5,0.45,0.55,0.0026,0.0018,-0.0018,0.0001,-0.0001,0.0009,-0.0009
0.6000000000000001,0.55,0.65,0.0036,0.0016,-0.0016,0.0013,-0.0013,0.0009,-0.0009
0.7,0.65,0.75,0.0047,0.0025,-0.0025,0.0034,-0.0034,0.0016,-0.0016
0.8,0.75,0.85,0.014,0.005,-0.005,0.008,-0.008,0.002,-0.002
0.8999999999999999,0.85,0.95,0.0221,0.0044,-0.0044,0.0012,-0.0012,0.0028,-0.0028
1.0,0.95,1.05,0.03,0.0053,-0.0053,0.0074,-0.0074,0.0037,-0.0037
1.1,1.05,1.15,0.044,0.0076,-0.0076,0.0023,-0.0023,0.0044,-0.0044
1.2,1.15,1.25,0.0491,0.0079,-0.0079,0.0094,-0.0094,0.0053,-0.0053
1.3,1.25,1.35,0.0499,0.0085,-0.0085,0.0031,-0.0031,0.0052,-0.0052
1.4,1.35,1.45,0.061,0.0097,-0.0097,0.0064,-0.0064,0.0056,-0.0056
1.5,1.45,1.55,0.056,0.0075,-0.0075,0.0096,-0.0096,0.005,-0.005
1.6,1.55,1.65,0.05,0.006,-0.006,0.013,-0.013,0.005,-0.005
1.7,1.65,1.75,0.0789,0.0083,-0.0083,0.0145,-0.0145,0.0058,-0.0058
1.8,1.75,1.85,0.1,0.01,-0.01,0.02,-0.02,0.01,-0.01
1.9,1.85,1.95,0.12,0.01,-0.01,0.03,-0.03,0.01,-0.01
2.0,1.95,2.05,0.149,0.011,-0.011,0.017,-0.017,0.009,-0.009
2.0999999999999996,2.05,2.15,0.1493,0.0099,-0.0099,0.0069,-0.0069,0.011,-0.011
2.2,2.15,2.25,0.198,0.014,-0.014,0.006,-0.006,0.011,-0.011
2.3,2.25,2.35,0.204,0.011,-0.011,0.007,-0.007,0.011,-0.011
2.4000000000000004,2.35,2.45,0.248,0.013,-0.013,0.013,-0.013,0.009,-0.009
2.5,2.45,2.55,0.274,0.013,-0.013,0.007,-0.007,0.009,-0.009
2.5999999999999996,2.55,2.65,0.287,0.013,-0.013,0.008,-0.008,0.008,-0.008
2.7,2.65,2.75,0.29,0.012,-0.012,0.009,-0.009,0.008,-0.008
2.8,2.75,2.85,0.318,0.014,-0.014,0.009,-0.009,0.01,-0.01
2.9000000000000004,2.85,2.95,0.318,0.011,-0.011,0.01,-0.01,0.01,-0.01

